LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;290.000;0.000;11.000;20.000;0.000;-0.046;0.044
2;301.000;1.000;10.000;9.000;0.095;0.065;0.068
3;305.000;0.000;11.000;5.000;0.000;-0.022;0.050
4;305.000;0.000;11.000;5.000;0.000;-0.022;0.090
5;303.000;0.000;9.000;3.000;0.000;-0.014;0.035
6;303.000;0.000;11.000;7.000;0.000;-0.027;0.044
7;301.000;1.000;10.000;9.000;0.095;0.065;0.073
8;289.000;0.000;11.000;21.000;0.000;-0.047;0.040
9;308.000;2.000;9.000;2.000;0.267;0.253;0.203
10;280.000;4.000;5.000;26.000;0.205;0.169;0.133
11;300.000;1.000;10.000;10.000;0.091;0.059;0.068
12;309.000;0.000;11.000;1.000;0.000;-0.006;0.132
13;216.000;5.000;6.000;94.000;0.091;0.031;0.062
14;271.000;4.000;7.000;39.000;0.148;0.099;0.094
15;303.000;1.000;8.000;3.000;0.154;0.139;0.083
16;310.000;1.000;10.000;0.000;0.167;0.162;0.258
17;307.000;0.000;11.000;3.000;0.000;-0.015;0.122
18;302.000;0.000;11.000;8.000;0.000;-0.030;0.084
19;302.000;0.000;11.000;8.000;0.000;-0.030;0.111
20;264.000;1.000;8.000;42.000;0.038;-0.009;0.035
21;281.000;2.000;9.000;29.000;0.095;0.047;0.050
22;281.000;1.000;10.000;29.000;0.049;-0.001;0.061
23;286.000;4.000;7.000;24.000;0.205;0.164;0.195
24;278.000;2.000;9.000;32.000;0.089;0.039;0.064
25;241.000;5.000;4.000;65.000;0.127;0.080;0.203
max;310.000;5.000;11.000;94.000;0.267;0.253;0.258
avg;289.440;1.400;9.200;19.760;0.077;0.044;0.096
min;216.000;0.000;4.000;0.000;0.000;-0.047;0.035
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;310.000;0.000;11.000;0.000;0.000;0.000
2;309.000;0.000;11.000;1.000;0.000;-0.006
3;310.000;0.000;11.000;0.000;0.000;0.000
4;309.000;0.000;11.000;1.000;0.000;-0.006
5;306.000;0.000;9.000;0.000;0.000;0.000
6;309.000;0.000;11.000;1.000;0.000;-0.006
7;310.000;0.000;11.000;0.000;0.000;0.000
8;309.000;0.000;11.000;1.000;0.000;-0.006
9;310.000;1.000;10.000;0.000;0.167;0.162
10;304.000;0.000;9.000;2.000;0.000;-0.010
11;309.000;0.000;11.000;1.000;0.000;-0.006
12;310.000;0.000;11.000;0.000;0.000;0.000
13;306.000;0.000;11.000;4.000;0.000;-0.019
14;306.000;0.000;11.000;4.000;0.000;-0.019
15;306.000;1.000;8.000;0.000;0.200;0.195
16;310.000;0.000;11.000;0.000;0.000;0.000
17;309.000;1.000;10.000;1.000;0.154;0.145
18;310.000;0.000;11.000;0.000;0.000;0.000
19;309.000;0.000;11.000;1.000;0.000;-0.006
20;303.000;0.000;9.000;3.000;0.000;-0.014
21;310.000;0.000;11.000;0.000;0.000;0.000
22;307.000;0.000;11.000;3.000;0.000;-0.015
23;300.000;1.000;10.000;10.000;0.091;0.059
24;309.000;0.000;11.000;1.000;0.000;-0.006
25;306.000;0.000;9.000;0.000;0.000;0.000
max;310.000;1.000;11.000;10.000;0.200;0.195
avg;307.840;0.160;10.440;1.360;0.024;0.018
min;300.000;0.000;8.000;0.000;0.000;-0.019
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;307.000;0.000;11.000;3.000;0.000;-0.015
2;307.000;0.000;11.000;3.000;0.000;-0.015
3;308.000;0.000;11.000;2.000;0.000;-0.011
4;307.000;1.000;10.000;3.000;0.133;0.117
5;306.000;1.000;8.000;0.000;0.200;0.195
6;308.000;0.000;11.000;2.000;0.000;-0.011
7;309.000;0.000;11.000;1.000;0.000;-0.006
8;308.000;0.000;11.000;2.000;0.000;-0.011
9;310.000;1.000;10.000;0.000;0.167;0.162
10;301.000;0.000;9.000;5.000;0.000;-0.021
11;309.000;0.000;11.000;1.000;0.000;-0.006
12;309.000;1.000;10.000;1.000;0.154;0.145
13;305.000;1.000;10.000;5.000;0.118;0.096
14;307.000;0.000;11.000;3.000;0.000;-0.015
15;306.000;1.000;8.000;0.000;0.200;0.195
16;310.000;1.000;10.000;0.000;0.167;0.162
17;310.000;1.000;10.000;0.000;0.167;0.162
18;309.000;0.000;11.000;1.000;0.000;-0.006
19;306.000;0.000;11.000;4.000;0.000;-0.019
20;300.000;0.000;9.000;6.000;0.000;-0.023
21;307.000;0.000;11.000;3.000;0.000;-0.015
22;305.000;1.000;10.000;5.000;0.118;0.096
23;303.000;1.000;10.000;7.000;0.105;0.079
24;307.000;1.000;10.000;3.000;0.133;0.117
25;303.000;0.000;9.000;3.000;0.000;-0.014
max;310.000;1.000;11.000;7.000;0.200;0.195
avg;306.680;0.440;10.160;2.520;0.066;0.054
min;300.000;0.000;8.000;0.000;0.000;-0.023
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;226.000;3.000;8.000;84.000;0.061;0.000
2;236.000;6.000;5.000;74.000;0.132;0.076
3;212.000;4.000;7.000;98.000;0.071;0.010
4;210.000;4.000;7.000;100.000;0.070;0.008
5;245.000;2.000;7.000;61.000;0.056;0.006
6;200.000;7.000;4.000;110.000;0.109;0.050
7;240.000;4.000;7.000;70.000;0.094;0.037
8;237.000;2.000;9.000;73.000;0.047;-0.014
9;207.000;4.000;7.000;103.000;0.068;0.006
10;227.000;4.000;5.000;79.000;0.087;0.037
11;232.000;4.000;7.000;78.000;0.086;0.027
12;236.000;5.000;6.000;74.000;0.111;0.054
13;215.000;5.000;6.000;95.000;0.090;0.030
14;242.000;5.000;6.000;68.000;0.119;0.063
15;245.000;4.000;5.000;61.000;0.108;0.061
16;228.000;3.000;8.000;82.000;0.062;0.002
17;223.000;5.000;6.000;87.000;0.097;0.038
18;226.000;4.000;7.000;84.000;0.081;0.021
19;239.000;4.000;7.000;71.000;0.093;0.035
20;242.000;2.000;7.000;64.000;0.053;0.003
21;254.000;4.000;7.000;56.000;0.113;0.058
22;200.000;5.000;6.000;110.000;0.079;0.018
23;239.000;3.000;8.000;71.000;0.071;0.012
24;224.000;5.000;6.000;86.000;0.098;0.039
25;241.000;3.000;6.000;65.000;0.078;0.029
max;254.000;7.000;9.000;110.000;0.132;0.076
avg;229.040;4.040;6.560;80.160;0.085;0.028
min;200.000;2.000;4.000;56.000;0.047;-0.014
