LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;285.000;3.000;8.000;2.000;0.375;0.360;0.428
2;286.000;4.000;7.000;1.000;0.500;0.488;0.649
3;285.000;1.000;10.000;2.000;0.143;0.129;0.382
4;281.000;1.000;10.000;6.000;0.111;0.085;0.165
5;284.000;1.000;6.000;1.000;0.222;0.214;0.488
6;277.000;0.000;11.000;10.000;0.000;-0.036;0.091
7;284.000;6.000;5.000;3.000;0.600;0.586;0.473
8;285.000;2.000;9.000;2.000;0.267;0.252;0.401
9;286.000;1.000;10.000;1.000;0.154;0.144;0.395
10;284.000;1.000;6.000;1.000;0.222;0.214;0.495
11;285.000;2.000;9.000;2.000;0.267;0.252;0.382
12;284.000;0.000;11.000;3.000;0.000;-0.016;0.384
13;284.000;2.000;9.000;3.000;0.250;0.232;0.260
14;286.000;3.000;8.000;1.000;0.400;0.388;0.502
15;285.000;2.000;5.000;0.000;0.444;0.438;0.432
16;276.000;4.000;7.000;11.000;0.308;0.277;0.346
17;285.000;0.000;11.000;2.000;0.000;-0.011;0.098
18;283.000;2.000;9.000;4.000;0.235;0.215;0.285
19;283.000;5.000;6.000;4.000;0.500;0.483;0.318
20;282.000;3.000;4.000;3.000;0.462;0.449;0.592
21;286.000;1.000;10.000;1.000;0.154;0.144;0.271
22;285.000;3.000;8.000;2.000;0.375;0.360;0.544
23;287.000;1.000;10.000;0.000;0.167;0.162;0.548
24;279.000;5.000;6.000;8.000;0.417;0.392;0.522
25;283.000;1.000;6.000;2.000;0.200;0.188;0.165
max;287.000;6.000;11.000;11.000;0.600;0.586;0.649
avg;283.600;2.160;8.040;3.000;0.271;0.256;0.385
min;276.000;0.000;4.000;0.000;0.000;-0.036;0.091
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;286.000;1.000;10.000;1.000;0.154;0.144
2;287.000;3.000;8.000;0.000;0.429;0.419
3;287.000;1.000;10.000;0.000;0.167;0.162
4;284.000;3.000;8.000;3.000;0.353;0.336
5;285.000;2.000;5.000;0.000;0.444;0.438
6;286.000;0.000;11.000;1.000;0.000;-0.006
7;285.000;4.000;7.000;2.000;0.471;0.456
8;285.000;2.000;9.000;2.000;0.267;0.252
9;286.000;0.000;11.000;1.000;0.000;-0.006
10;284.000;1.000;6.000;1.000;0.222;0.214
11;286.000;1.000;10.000;1.000;0.154;0.144
12;287.000;2.000;9.000;0.000;0.308;0.300
13;284.000;1.000;10.000;3.000;0.133;0.116
14;286.000;2.000;9.000;1.000;0.286;0.274
15;284.000;2.000;5.000;1.000;0.400;0.391
16;287.000;2.000;9.000;0.000;0.308;0.300
17;286.000;1.000;10.000;1.000;0.154;0.144
18;285.000;2.000;9.000;2.000;0.267;0.252
19;285.000;2.000;9.000;2.000;0.267;0.252
20;285.000;3.000;4.000;0.000;0.600;0.594
21;286.000;1.000;10.000;1.000;0.154;0.144
22;285.000;2.000;9.000;2.000;0.267;0.252
23;287.000;1.000;10.000;0.000;0.167;0.162
24;284.000;1.000;10.000;3.000;0.133;0.116
25;283.000;1.000;6.000;2.000;0.200;0.188
max;287.000;4.000;11.000;3.000;0.600;0.594
avg;285.400;1.640;8.560;1.200;0.252;0.242
min;283.000;0.000;4.000;0.000;0.000;-0.006
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;285.000;1.000;10.000;2.000;0.143;0.129
2;284.000;4.000;7.000;3.000;0.444;0.428
3;286.000;1.000;10.000;1.000;0.154;0.144
4;281.000;3.000;8.000;6.000;0.300;0.276
5;284.000;1.000;6.000;1.000;0.222;0.214
6;283.000;2.000;9.000;4.000;0.235;0.215
7;284.000;4.000;7.000;3.000;0.444;0.428
8;285.000;3.000;8.000;2.000;0.375;0.360
9;285.000;2.000;9.000;2.000;0.267;0.252
10;283.000;1.000;6.000;2.000;0.200;0.188
11;283.000;2.000;9.000;4.000;0.235;0.215
12;286.000;1.000;10.000;1.000;0.154;0.144
13;284.000;1.000;10.000;3.000;0.133;0.116
14;285.000;3.000;8.000;2.000;0.375;0.360
15;283.000;3.000;4.000;2.000;0.500;0.490
16;286.000;3.000;8.000;1.000;0.400;0.388
17;286.000;4.000;7.000;1.000;0.500;0.488
18;283.000;2.000;9.000;4.000;0.235;0.215
19;284.000;2.000;9.000;3.000;0.250;0.232
20;282.000;4.000;3.000;3.000;0.571;0.561
21;283.000;0.000;11.000;4.000;0.000;-0.020
22;285.000;3.000;8.000;2.000;0.375;0.360
23;287.000;1.000;10.000;0.000;0.167;0.162
24;281.000;2.000;9.000;6.000;0.211;0.185
25;282.000;2.000;5.000;3.000;0.333;0.320
max;287.000;4.000;11.000;6.000;0.571;0.561
avg;284.000;2.200;8.000;2.600;0.289;0.274
min;281.000;0.000;3.000;0.000;0.000;-0.020
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;276.000;5.000;6.000;11.000;0.370;0.342
2;280.000;5.000;6.000;7.000;0.435;0.412
3;281.000;4.000;7.000;6.000;0.381;0.358
4;279.000;3.000;8.000;8.000;0.273;0.245
5;275.000;5.000;2.000;10.000;0.455;0.436
6;270.000;3.000;8.000;17.000;0.194;0.153
7;276.000;7.000;4.000;11.000;0.483;0.458
8;279.000;5.000;6.000;8.000;0.417;0.392
9;281.000;6.000;5.000;6.000;0.522;0.503
10;278.000;5.000;2.000;7.000;0.526;0.512
11;285.000;4.000;7.000;2.000;0.471;0.456
12;274.000;4.000;7.000;13.000;0.286;0.252
13;285.000;1.000;10.000;2.000;0.143;0.129
14;283.000;4.000;7.000;4.000;0.421;0.402
15;281.000;4.000;3.000;4.000;0.533;0.521
16;280.000;1.000;10.000;7.000;0.105;0.077
17;280.000;2.000;9.000;7.000;0.200;0.173
18;274.000;5.000;6.000;13.000;0.345;0.313
19;272.000;5.000;6.000;15.000;0.323;0.289
20;270.000;4.000;3.000;15.000;0.308;0.283
21;280.000;5.000;6.000;7.000;0.435;0.412
22;283.000;3.000;8.000;4.000;0.333;0.314
23;281.000;4.000;7.000;6.000;0.381;0.358
24;281.000;5.000;6.000;6.000;0.455;0.434
25;280.000;2.000;5.000;5.000;0.286;0.268
max;285.000;7.000;10.000;17.000;0.533;0.521
avg;278.560;4.040;6.160;8.040;0.363;0.340
min;270.000;1.000;2.000;2.000;0.105;0.077
