LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;274.000;6.000;1.000;16.000;0.414;0.392;0.565
2;268.000;5.000;2.000;22.000;0.294;0.267;0.434
3;256.000;6.000;1.000;34.000;0.255;0.224;0.265
4;272.000;6.000;1.000;18.000;0.387;0.364;0.504
5;282.000;6.000;1.000;7.000;0.600;0.587;0.742
6;271.000;6.000;1.000;19.000;0.375;0.351;0.618
7;250.000;7.000;0.000;40.000;0.259;0.228;0.348
8;266.000;6.000;1.000;24.000;0.324;0.297;0.480
9;265.000;5.000;2.000;25.000;0.270;0.241;0.604
10;273.000;6.000;1.000;16.000;0.414;0.392;0.530
11;275.000;6.000;1.000;15.000;0.429;0.408;0.708
12;254.000;7.000;0.000;36.000;0.280;0.250;0.720
13;285.000;3.000;4.000;5.000;0.400;0.385;0.439
14;259.000;6.000;1.000;31.000;0.273;0.243;0.370
15;269.000;6.000;1.000;20.000;0.364;0.339;0.360
16;277.000;6.000;1.000;13.000;0.462;0.442;0.718
17;271.000;7.000;0.000;19.000;0.424;0.402;0.304
18;280.000;4.000;3.000;10.000;0.381;0.361;0.611
19;288.000;5.000;2.000;2.000;0.714;0.707;0.686
20;282.000;5.000;2.000;7.000;0.526;0.512;0.642
21;259.000;7.000;0.000;31.000;0.311;0.283;0.465
22;268.000;4.000;3.000;22.000;0.242;0.213;0.218
23;254.000;7.000;0.000;36.000;0.280;0.250;0.702
24;273.000;6.000;1.000;17.000;0.400;0.378;0.634
25;267.000;5.000;2.000;22.000;0.294;0.267;0.375
max;288.000;7.000;4.000;40.000;0.714;0.707;0.742
avg;269.520;5.720;1.280;20.280;0.375;0.351;0.522
min;250.000;3.000;0.000;2.000;0.242;0.213;0.218
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;289.000;4.000;3.000;1.000;0.667;0.660
2;286.000;3.000;4.000;4.000;0.429;0.415
3;290.000;1.000;6.000;0.000;0.250;0.246
4;289.000;3.000;4.000;1.000;0.545;0.538
5;288.000;3.000;4.000;1.000;0.545;0.537
6;287.000;4.000;3.000;3.000;0.571;0.561
7;289.000;2.000;5.000;1.000;0.400;0.391
8;289.000;2.000;5.000;1.000;0.400;0.391
9;288.000;2.000;5.000;2.000;0.364;0.353
10;289.000;3.000;4.000;0.000;0.600;0.594
11;289.000;2.000;5.000;1.000;0.400;0.391
12;290.000;4.000;3.000;0.000;0.727;0.723
13;289.000;2.000;5.000;1.000;0.400;0.391
14;285.000;4.000;3.000;5.000;0.500;0.486
15;289.000;1.000;6.000;0.000;0.250;0.246
16;290.000;3.000;4.000;0.000;0.600;0.594
17;287.000;2.000;5.000;3.000;0.333;0.320
18;287.000;4.000;3.000;3.000;0.571;0.561
19;290.000;3.000;4.000;0.000;0.600;0.594
20;288.000;3.000;4.000;1.000;0.545;0.537
21;288.000;4.000;3.000;2.000;0.615;0.607
22;288.000;2.000;5.000;2.000;0.364;0.353
23;288.000;6.000;1.000;2.000;0.800;0.795
24;290.000;2.000;5.000;0.000;0.444;0.439
25;288.000;2.000;5.000;1.000;0.400;0.391
max;290.000;6.000;6.000;5.000;0.800;0.795
avg;288.400;2.840;4.160;1.400;0.493;0.485
min;285.000;1.000;1.000;0.000;0.250;0.246
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;287.000;3.000;4.000;3.000;0.462;0.450
2;286.000;4.000;3.000;4.000;0.533;0.521
3;290.000;2.000;5.000;0.000;0.444;0.439
4;286.000;3.000;4.000;4.000;0.429;0.415
5;288.000;5.000;2.000;1.000;0.769;0.764
6;287.000;3.000;4.000;3.000;0.462;0.450
7;288.000;3.000;4.000;2.000;0.500;0.490
8;288.000;3.000;4.000;2.000;0.500;0.490
9;285.000;2.000;5.000;5.000;0.286;0.268
10;289.000;2.000;5.000;0.000;0.444;0.439
11;289.000;4.000;3.000;1.000;0.667;0.660
12;289.000;4.000;3.000;1.000;0.667;0.660
13;288.000;3.000;4.000;2.000;0.500;0.490
14;285.000;4.000;3.000;5.000;0.500;0.486
15;288.000;0.000;7.000;1.000;0.000;-0.006
16;289.000;3.000;4.000;1.000;0.545;0.538
17;286.000;3.000;4.000;4.000;0.429;0.415
18;286.000;5.000;2.000;4.000;0.625;0.615
19;289.000;3.000;4.000;1.000;0.545;0.538
20;288.000;3.000;4.000;1.000;0.545;0.537
21;286.000;4.000;3.000;4.000;0.533;0.521
22;289.000;3.000;4.000;1.000;0.545;0.538
23;287.000;6.000;1.000;3.000;0.750;0.743
24;289.000;1.000;6.000;1.000;0.222;0.214
25;289.000;2.000;5.000;0.000;0.444;0.439
max;290.000;6.000;7.000;5.000;0.769;0.764
avg;287.640;3.120;3.880;2.160;0.494;0.484
min;285.000;0.000;1.000;0.000;0.000;-0.006
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;274.000;6.000;1.000;16.000;0.414;0.392
2;272.000;5.000;2.000;18.000;0.333;0.308
3;275.000;6.000;1.000;15.000;0.429;0.408
4;278.000;5.000;2.000;12.000;0.417;0.397
5;261.000;6.000;1.000;28.000;0.293;0.264
6;274.000;5.000;2.000;16.000;0.357;0.334
7;264.000;7.000;0.000;26.000;0.350;0.324
