LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;129.000;8.000;1.000;9.000;0.615;0.582;0.910
2;132.000;5.000;4.000;6.000;0.500;0.464;0.569
3;132.000;8.000;1.000;6.000;0.696;0.671;0.799
4;132.000;5.000;4.000;6.000;0.500;0.464;0.603
5;128.000;4.000;2.000;9.000;0.421;0.386;0.447
6;129.000;8.000;1.000;9.000;0.615;0.582;0.625
7;133.000;6.000;3.000;5.000;0.600;0.571;0.796
8;134.000;7.000;2.000;4.000;0.700;0.678;0.708
9;132.000;7.000;2.000;6.000;0.636;0.608;0.737
10;128.000;6.000;0.000;9.000;0.571;0.544;0.573
11;132.000;4.000;5.000;6.000;0.421;0.381;0.523
12;133.000;9.000;0.000;5.000;0.783;0.765;0.906
13;134.000;5.000;4.000;4.000;0.556;0.527;0.648
14;120.000;8.000;1.000;18.000;0.457;0.403;0.699
15;129.000;4.000;2.000;8.000;0.444;0.412;0.530
16;130.000;4.000;5.000;8.000;0.381;0.334;0.499
17;129.000;6.000;3.000;9.000;0.500;0.459;0.671
18;131.000;7.000;2.000;7.000;0.609;0.577;0.656
19;130.000;9.000;0.000;8.000;0.692;0.666;0.912
20;131.000;5.000;1.000;6.000;0.588;0.565;0.603
21;129.000;7.000;2.000;9.000;0.560;0.523;0.677
22;128.000;8.000;1.000;10.000;0.593;0.556;0.706
23;132.000;5.000;4.000;6.000;0.500;0.464;0.526
24;135.000;8.000;1.000;3.000;0.800;0.786;0.925
25;131.000;4.000;2.000;6.000;0.500;0.472;0.803
max;135.000;9.000;5.000;18.000;0.800;0.786;0.925
avg;130.520;6.280;2.120;7.280;0.570;0.538;0.682
min;120.000;4.000;0.000;3.000;0.381;0.334;0.447
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;135.000;4.000;5.000;3.000;0.500;0.472
2;135.000;2.000;7.000;3.000;0.286;0.253
3;136.000;3.000;6.000;2.000;0.429;0.402
4;136.000;3.000;6.000;2.000;0.429;0.402
5;137.000;2.000;4.000;0.000;0.500;0.489
6;133.000;4.000;5.000;5.000;0.444;0.408
7;137.000;4.000;5.000;1.000;0.571;0.552
8;136.000;1.000;8.000;2.000;0.167;0.140
9;134.000;4.000;5.000;4.000;0.471;0.438
10;133.000;3.000;3.000;4.000;0.462;0.436
11;136.000;1.000;8.000;2.000;0.167;0.140
12;135.000;5.000;4.000;3.000;0.588;0.563
13;135.000;2.000;7.000;3.000;0.286;0.253
14;136.000;2.000;7.000;2.000;0.308;0.281
15;135.000;2.000;4.000;2.000;0.400;0.379
16;135.000;3.000;6.000;3.000;0.400;0.369
17;134.000;2.000;7.000;4.000;0.267;0.229
18;135.000;3.000;6.000;3.000;0.400;0.369
19;136.000;3.000;6.000;2.000;0.429;0.402
20;135.000;2.000;4.000;2.000;0.400;0.379
21;136.000;1.000;8.000;2.000;0.167;0.140
22;134.000;3.000;6.000;4.000;0.375;0.340
23;137.000;2.000;7.000;1.000;0.333;0.312
24;136.000;1.000;8.000;2.000;0.167;0.140
25;135.000;1.000;5.000;2.000;0.222;0.200
max;137.000;5.000;8.000;5.000;0.588;0.563
avg;135.280;2.520;5.880;2.520;0.367;0.340
min;133.000;1.000;3.000;0.000;0.167;0.140
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;132.000;5.000;4.000;6.000;0.500;0.464
2;134.000;3.000;6.000;4.000;0.375;0.340
3;133.000;5.000;4.000;5.000;0.526;0.494
4;133.000;3.000;6.000;5.000;0.353;0.313
5;134.000;2.000;4.000;3.000;0.364;0.338
