LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;421.000;11.000;1.000;35.000;0.379;0.353;0.427
2;417.000;11.000;1.000;39.000;0.355;0.327;0.609
3;439.000;7.000;5.000;17.000;0.389;0.367;0.374
4;419.000;9.000;3.000;37.000;0.310;0.281;0.614
5;428.000;6.000;4.000;28.000;0.273;0.248;0.282
6;424.000;12.000;0.000;32.000;0.429;0.405;0.698
7;411.000;12.000;0.000;45.000;0.348;0.319;0.476
8;427.000;6.000;6.000;29.000;0.255;0.226;0.221
9;433.000;9.000;3.000;23.000;0.409;0.386;0.514
10;424.000;7.000;3.000;32.000;0.286;0.260;0.383
11;422.000;8.000;4.000;34.000;0.296;0.267;0.505
12;425.000;6.000;6.000;31.000;0.245;0.214;0.320
13;434.000;9.000;3.000;22.000;0.419;0.396;0.580
14;423.000;9.000;3.000;33.000;0.333;0.306;0.293
15;421.000;9.000;1.000;35.000;0.333;0.309;0.550
16;419.000;10.000;2.000;37.000;0.339;0.311;0.562
17;420.000;10.000;2.000;36.000;0.345;0.317;0.488
18;426.000;10.000;2.000;30.000;0.385;0.359;0.504
19;429.000;9.000;3.000;27.000;0.375;0.350;0.461
20;435.000;5.000;5.000;21.000;0.278;0.255;0.388
21;411.000;9.000;3.000;45.000;0.273;0.241;0.395
22;431.000;9.000;3.000;25.000;0.391;0.367;0.310
23;430.000;8.000;4.000;26.000;0.348;0.322;0.360
24;420.000;10.000;2.000;36.000;0.345;0.317;0.661
25;420.000;8.000;2.000;36.000;0.296;0.271;0.368
max;439.000;12.000;6.000;45.000;0.429;0.405;0.698
avg;424.360;8.760;2.840;31.640;0.337;0.311;0.454
min;411.000;5.000;0.000;17.000;0.245;0.214;0.221
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;456.000;2.000;10.000;0.000;0.286;0.280
2;452.000;1.000;11.000;4.000;0.118;0.104
3;455.000;0.000;12.000;1.000;0.000;-0.004
4;453.000;4.000;8.000;3.000;0.421;0.410
5;456.000;1.000;9.000;0.000;0.182;0.179
6;454.000;3.000;9.000;2.000;0.353;0.343
7;453.000;1.000;11.000;3.000;0.125;0.114
8;454.000;1.000;11.000;2.000;0.133;0.124
9;455.000;2.000;10.000;1.000;0.267;0.259
10;453.000;1.000;9.000;3.000;0.143;0.132
11;455.000;2.000;10.000;1.000;0.267;0.259
12;452.000;0.000;12.000;4.000;0.000;-0.013
13;456.000;3.000;9.000;0.000;0.400;0.394
14;452.000;0.000;12.000;4.000;0.000;-0.013
15;456.000;1.000;9.000;0.000;0.182;0.179
16;453.000;2.000;10.000;3.000;0.235;0.224
17;454.000;1.000;11.000;2.000;0.133;0.124
18;453.000;0.000;12.000;3.000;0.000;-0.010
19;455.000;0.000;12.000;1.000;0.000;-0.004
20;455.000;1.000;9.000;1.000;0.167;0.161
21;452.000;1.000;11.000;4.000;0.118;0.104
22;452.000;0.000;12.000;4.000;0.000;-0.013
23;453.000;3.000;9.000;3.000;0.333;0.322
24;455.000;0.000;12.000;1.000;0.000;-0.004
25;453.000;3.000;7.000;3.000;0.375;0.365
max;456.000;4.000;12.000;4.000;0.421;0.410
avg;453.880;1.320;10.280;2.120;0.169;0.161
min;452.000;0.000;7.000;0.000;0.000;-0.013
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;444.000;6.000;6.000;12.000;0.400;0.381
2;443.000;6.000;6.000;13.000;0.387;0.367
3;449.000;2.000;10.000;7.000;0.190;0.172
4;447.000;5.000;7.000;9.000;0.385;0.367
5;449.000;3.000;7.000;7.000;0.300;0.285
