LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;295.000;13.000;0.000;38.000;0.406;0.368;0.359
2;301.000;10.000;3.000;32.000;0.364;0.325;0.303
3;290.000;13.000;0.000;43.000;0.377;0.336;0.369
4;297.000;12.000;1.000;36.000;0.393;0.355;0.367
5;304.000;11.000;2.000;27.000;0.431;0.397;0.438
6;306.000;8.000;5.000;27.000;0.333;0.295;0.289
7;283.000;13.000;0.000;50.000;0.342;0.298;0.372
8;298.000;11.000;2.000;35.000;0.373;0.334;0.336
9;298.000;13.000;0.000;35.000;0.426;0.390;0.281
10;294.000;12.000;1.000;37.000;0.387;0.348;0.554
11;299.000;11.000;2.000;34.000;0.379;0.341;0.308
12;303.000;13.000;0.000;30.000;0.464;0.431;0.437
13;287.000;13.000;0.000;46.000;0.361;0.319;0.316
14;297.000;13.000;0.000;36.000;0.419;0.383;0.380
15;300.000;10.000;3.000;31.000;0.370;0.332;0.370
16;302.000;12.000;1.000;31.000;0.429;0.394;0.412
17;293.000;12.000;1.000;40.000;0.369;0.329;0.516
18;292.000;13.000;0.000;41.000;0.388;0.349;0.317
19;298.000;11.000;2.000;35.000;0.373;0.334;0.268
20;301.000;12.000;1.000;30.000;0.436;0.402;0.320
21;286.000;13.000;0.000;47.000;0.356;0.314;0.291
22;305.000;10.000;3.000;28.000;0.392;0.356;0.357
23;307.000;11.000;2.000;26.000;0.440;0.407;0.356
24;289.000;13.000;0.000;44.000;0.371;0.330;0.292
25;296.000;13.000;0.000;35.000;0.426;0.390;0.537
max;307.000;13.000;5.000;50.000;0.464;0.431;0.554
avg;296.840;11.840;1.160;35.760;0.392;0.354;0.366
min;283.000;8.000;0.000;26.000;0.333;0.295;0.268
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;333.000;13.000;0.000;0.000;1.000;1.000
2;333.000;11.000;2.000;0.000;0.917;0.914
3;333.000;11.000;2.000;0.000;0.917;0.914
4;333.000;11.000;2.000;0.000;0.917;0.914
5;331.000;11.000;2.000;0.000;0.917;0.914
6;333.000;10.000;3.000;0.000;0.870;0.865
7;331.000;12.000;1.000;2.000;0.889;0.884
8;333.000;10.000;3.000;0.000;0.870;0.865
9;333.000;12.000;1.000;0.000;0.960;0.959
10;331.000;13.000;0.000;0.000;1.000;1.000
11;333.000;12.000;1.000;0.000;0.960;0.959
12;333.000;13.000;0.000;0.000;1.000;1.000
13;333.000;12.000;1.000;0.000;0.960;0.959
14;333.000;13.000;0.000;0.000;1.000;1.000
15;331.000;11.000;2.000;0.000;0.917;0.914
16;333.000;11.000;2.000;0.000;0.917;0.914
17;332.000;12.000;1.000;1.000;0.923;0.920
18;333.000;13.000;0.000;0.000;1.000;1.000
19;333.000;6.000;7.000;0.000;0.632;0.623
20;331.000;11.000;2.000;0.000;0.917;0.914
21;333.000;9.000;4.000;0.000;0.818;0.812
22;331.000;10.000;3.000;2.000;0.800;0.793
23;333.000;10.000;3.000;0.000;0.870;0.865
24;333.000;12.000;1.000;0.000;0.960;0.959
25;330.000;12.000;1.000;1.000;0.923;0.920
max;333.000;13.000;7.000;2.000;1.000;1.000
avg;332.360;11.240;1.760;0.240;0.914;0.911
min;330.000;6.000;0.000;0.000;0.632;0.623
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;333.000;13.000;0.000;0.000;1.000;1.000
2;333.000;12.000;1.000;0.000;0.960;0.959
3;333.000;13.000;0.000;0.000;1.000;1.000
4;333.000;13.000;0.000;0.000;1.000;1.000
5;329.000;12.000;1.000;2.000;0.889;0.884
6;332.000;13.000;0.000;1.000;0.963;0.961
7;332.000;13.000;0.000;1.000;0.963;0.961
8;333.000;13.000;0.000;0.000;1.000;1.000
9;333.000;12.000;1.000;0.000;0.960;0.959
10;331.000;13.000;0.000;0.000;1.000;1.000
11;333.000;10.000;3.000;0.000;0.870;0.865
12;332.000;13.000;0.000;1.000;0.963;0.961
13;333.000;13.000;0.000;0.000;1.000;1.000
14;333.000;13.000;0.000;0.000;1.000;1.000
15;331.000;11.000;2.000;0.000;0.917;0.914
16;333.000;13.000;0.000;0.000;1.000;1.000
17;333.000;12.000;1.000;0.000;0.960;0.959
18;332.000;13.000;0.000;1.000;0.963;0.961
19;333.000;12.000;1.000;0.000;0.960;0.959
20;331.000;13.000;0.000;0.000;1.000;1.000
21;333.000;13.000;0.000;0.000;1.000;1.000
22;333.000;11.000;2.000;0.000;0.917;0.914
23;333.000;13.000;0.000;0.000;1.000;1.000
24;333.000;13.000;0.000;0.000;1.000;1.000
25;331.000;13.000;0.000;0.000;1.000;1.000
max;333.000;13.000;3.000;2.000;1.000;1.000
avg;332.360;12.520;0.480;0.240;0.971;0.970
min;329.000;10.000;0.000;0.000;0.870;0.865
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;330.000;13.000;0.000;3.000;0.897;0.892
2;326.000;10.000;3.000;7.000;0.667;0.652
3;325.000;13.000;0.000;8.000;0.765;0.753
4;331.000;12.000;1.000;2.000;0.889;0.884
5;329.000;11.000;2.000;2.000;0.846;0.840
6;326.000;13.000;0.000;7.000;0.788;0.778
7;321.000;13.000;0.000;12.000;0.684;0.668
8;328.000;10.000;3.000;5.000;0.714;0.702
9;327.000;11.000;2.000;6.000;0.733;0.721
10;329.000;13.000;0.000;2.000;0.929;0.926
11;330.000;9.000;4.000;3.000;0.720;0.710
12;331.000;12.000;1.000;2.000;0.889;0.884
13;327.000;12.000;1.000;6.000;0.774;0.764
14;329.000;13.000;0.000;4.000;0.867;0.861
15;329.000;9.000;4.000;2.000;0.750;0.741
16;328.000;11.000;2.000;5.000;0.759;0.748
17;329.000;12.000;1.000;4.000;0.828;0.820
18;329.000;12.000;1.000;4.000;0.828;0.820
19;328.000;12.000;1.000;5.000;0.800;0.791
20;324.000;13.000;0.000;7.000;0.788;0.778
21;328.000;13.000;0.000;5.000;0.839;0.831
22;329.000;12.000;1.000;4.000;0.828;0.820
23;330.000;11.000;2.000;3.000;0.815;0.807
24;327.000;13.000;0.000;6.000;0.813;0.804
25;330.000;12.000;1.000;1.000;0.923;0.920
max;331.000;13.000;4.000;12.000;0.929;0.926
avg;328.000;11.800;1.200;4.600;0.805;0.797
min;321.000;9.000;0.000;1.000;0.667;0.652
