LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;180.000;8.000;6.000;152.000;0.092;0.019;0.061
2;184.000;11.000;3.000;148.000;0.127;0.057;0.084
3;179.000;7.000;7.000;153.000;0.080;0.007;0.058
4;184.000;10.000;4.000;148.000;0.116;0.045;0.075
5;181.000;8.000;5.000;150.000;0.094;0.026;0.057
6;169.000;9.000;5.000;163.000;0.097;0.024;0.067
7;179.000;10.000;4.000;153.000;0.113;0.042;0.069
8;199.000;9.000;5.000;133.000;0.115;0.045;0.070
9;194.000;5.000;9.000;138.000;0.064;-0.011;0.051
10;192.000;8.000;5.000;139.000;0.100;0.033;0.076
11;173.000;10.000;4.000;159.000;0.109;0.037;0.078
12;194.000;9.000;5.000;138.000;0.112;0.041;0.066
13;184.000;8.000;6.000;148.000;0.094;0.021;0.056
14;174.000;10.000;4.000;158.000;0.110;0.038;0.081
15;176.000;8.000;5.000;155.000;0.091;0.022;0.054
16;182.000;10.000;4.000;150.000;0.115;0.044;0.067
17;179.000;8.000;6.000;153.000;0.091;0.018;0.061
18;175.000;9.000;5.000;157.000;0.100;0.027;0.068
19;194.000;6.000;8.000;138.000;0.076;0.002;0.056
20;183.000;10.000;3.000;148.000;0.117;0.051;0.078
21;191.000;6.000;8.000;141.000;0.075;0.001;0.052
22;192.000;8.000;6.000;140.000;0.099;0.027;0.072
23;161.000;10.000;4.000;171.000;0.103;0.030;0.083
24;177.000;10.000;4.000;155.000;0.112;0.040;0.076
25;182.000;9.000;4.000;149.000;0.105;0.038;0.064
max;199.000;11.000;9.000;171.000;0.127;0.057;0.084
avg;182.320;8.640;5.160;149.480;0.100;0.029;0.067
min;161.000;5.000;3.000;133.000;0.064;-0.011;0.051
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;332.000;10.000;4.000;0.000;0.833;0.828
2;332.000;8.000;6.000;0.000;0.727;0.719
3;332.000;7.000;7.000;0.000;0.667;0.657
4;332.000;4.000;10.000;0.000;0.444;0.434
5;331.000;0.000;13.000;0.000;0.000;0.000
6;332.000;4.000;10.000;0.000;0.444;0.434
7;332.000;6.000;8.000;0.000;0.600;0.590
8;332.000;5.000;9.000;0.000;0.526;0.516
9;332.000;5.000;9.000;0.000;0.526;0.516
10;331.000;6.000;7.000;0.000;0.632;0.623
11;332.000;7.000;7.000;0.000;0.667;0.657
12;331.000;6.000;8.000;1.000;0.571;0.560
13;331.000;7.000;7.000;1.000;0.636;0.625
14;332.000;6.000;8.000;0.000;0.600;0.590
15;331.000;7.000;6.000;0.000;0.700;0.692
16;332.000;9.000;5.000;0.000;0.783;0.775
17;332.000;3.000;11.000;0.000;0.353;0.344
18;331.000;8.000;6.000;1.000;0.696;0.686
19;332.000;7.000;7.000;0.000;0.667;0.657
20;331.000;4.000;9.000;0.000;0.471;0.461
21;331.000;4.000;10.000;1.000;0.421;0.408
22;332.000;8.000;6.000;0.000;0.727;0.719
23;332.000;9.000;5.000;0.000;0.783;0.775
24;332.000;3.000;11.000;0.000;0.353;0.344
25;331.000;7.000;6.000;0.000;0.700;0.692
max;332.000;10.000;13.000;1.000;0.833;0.828
avg;331.640;6.000;7.800;0.160;0.581;0.572
min;331.000;0.000;4.000;0.000;0.000;0.000
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;330.000;12.000;2.000;2.000;0.857;0.851
2;332.000;14.000;0.000;0.000;1.000;1.000
3;331.000;11.000;3.000;1.000;0.846;0.840
4;331.000;11.000;3.000;1.000;0.846;0.840
5;328.000;11.000;2.000;3.000;0.815;0.807
6;331.000;11.000;3.000;1.000;0.846;0.840
7;332.000;13.000;1.000;0.000;0.963;0.961
8;332.000;8.000;6.000;0.000;0.727;0.719
9;330.000;11.000;3.000;2.000;0.815;0.807
10;329.000;10.000;3.000;2.000;0.800;0.792
11;332.000;11.000;3.000;0.000;0.880;0.876
12;331.000;13.000;1.000;1.000;0.929;0.926
13;330.000;10.000;4.000;2.000;0.769;0.760
14;331.000;13.000;1.000;1.000;0.929;0.926
15;329.000;11.000;2.000;2.000;0.846;0.840
16;332.000;14.000;0.000;0.000;1.000;1.000
17;331.000;11.000;3.000;1.000;0.846;0.840
18;331.000;11.000;3.000;1.000;0.846;0.840
19;331.000;12.000;2.000;1.000;0.889;0.884
20;327.000;8.000;5.000;4.000;0.640;0.626
21;331.000;8.000;6.000;1.000;0.696;0.686
22;331.000;12.000;2.000;1.000;0.889;0.884
23;329.000;13.000;1.000;3.000;0.867;0.861
24;331.000;10.000;4.000;1.000;0.800;0.793
25;330.000;11.000;2.000;1.000;0.880;0.875
max;332.000;14.000;6.000;4.000;1.000;1.000
avg;330.520;11.200;2.600;1.280;0.849;0.843
min;327.000;8.000;0.000;0.000;0.640;0.626
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;329.000;13.000;1.000;3.000;0.867;0.861
2;326.000;13.000;1.000;6.000;0.788;0.778
3;326.000;11.000;3.000;6.000;0.710;0.696
4;326.000;10.000;4.000;6.000;0.667;0.652
5;326.000;12.000;1.000;5.000;0.800;0.791
6;328.000;12.000;2.000;4.000;0.800;0.791
7;326.000;11.000;3.000;6.000;0.710;0.696
