LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;178.000;3.000;6.000;27.000;0.154;0.095;0.093
2;157.000;8.000;1.000;48.000;0.246;0.187;0.363
3;178.000;5.000;4.000;27.000;0.244;0.191;0.307
4;183.000;9.000;0.000;22.000;0.450;0.412;0.684
5;173.000;4.000;3.000;30.000;0.195;0.148;0.205
6;170.000;7.000;2.000;35.000;0.275;0.221;0.395
7;172.000;6.000;3.000;33.000;0.250;0.195;0.399
8;177.000;6.000;3.000;28.000;0.279;0.228;0.246
9;184.000;5.000;4.000;21.000;0.286;0.238;0.315
10;171.000;7.000;0.000;32.000;0.304;0.263;0.287
11;188.000;7.000;2.000;17.000;0.424;0.387;0.739
12;169.000;7.000;2.000;36.000;0.269;0.215;0.243
13;175.000;6.000;3.000;30.000;0.267;0.214;0.498
14;182.000;5.000;4.000;23.000;0.270;0.221;0.313
15;162.000;6.000;1.000;41.000;0.222;0.174;0.291
16;173.000;8.000;1.000;32.000;0.327;0.277;0.218
17;183.000;7.000;2.000;22.000;0.368;0.325;0.545
18;171.000;5.000;4.000;34.000;0.208;0.150;0.250
19;171.000;8.000;1.000;34.000;0.314;0.263;0.431
20;171.000;5.000;2.000;32.000;0.227;0.181;0.566
21;184.000;5.000;4.000;21.000;0.286;0.238;0.197
22;174.000;7.000;2.000;31.000;0.298;0.247;0.434
23;180.000;9.000;0.000;25.000;0.419;0.377;0.439
24;181.000;3.000;6.000;24.000;0.167;0.111;0.187
25;165.000;5.000;2.000;38.000;0.200;0.151;0.454
max;188.000;9.000;6.000;48.000;0.450;0.412;0.739
avg;174.880;6.120;2.480;29.720;0.278;0.228;0.364
min;157.000;3.000;0.000;17.000;0.154;0.095;0.093
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;196.000;2.000;7.000;9.000;0.200;0.161
2;201.000;1.000;8.000;4.000;0.143;0.116
3;203.000;0.000;9.000;2.000;0.000;-0.016
4;204.000;0.000;9.000;1.000;0.000;-0.008
5;198.000;1.000;6.000;5.000;0.154;0.127
6;201.000;1.000;8.000;4.000;0.143;0.116
7;202.000;0.000;9.000;3.000;0.000;-0.021
8;203.000;1.000;8.000;2.000;0.167;0.149
9;202.000;1.000;8.000;3.000;0.154;0.131
10;198.000;0.000;7.000;5.000;0.000;-0.029
11;204.000;0.000;9.000;1.000;0.000;-0.008
12;194.000;3.000;6.000;11.000;0.261;0.221
13;204.000;0.000;9.000;1.000;0.000;-0.008
14;203.000;1.000;8.000;2.000;0.167;0.149
15;198.000;0.000;7.000;5.000;0.000;-0.029
16;199.000;0.000;9.000;6.000;0.000;-0.035
17;202.000;0.000;9.000;3.000;0.000;-0.021
18;204.000;1.000;8.000;1.000;0.182;0.169
19;199.000;2.000;7.000;6.000;0.235;0.204
20;201.000;0.000;7.000;2.000;0.000;-0.015
21;203.000;0.000;9.000;2.000;0.000;-0.016
22;204.000;0.000;9.000;1.000;0.000;-0.008
23;205.000;1.000;8.000;0.000;0.200;0.193
24;202.000;0.000;9.000;3.000;0.000;-0.021
25;196.000;0.000;7.000;7.000;0.000;-0.034
max;205.000;3.000;9.000;11.000;0.261;0.221
avg;201.040;0.600;8.000;3.560;0.080;0.059
min;194.000;0.000;6.000;0.000;0.000;-0.035
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;197.000;1.000;8.000;8.000;0.111;0.072
2;201.000;2.000;7.000;4.000;0.267;0.241
3;204.000;1.000;8.000;1.000;0.182;0.169
4;204.000;1.000;8.000;1.000;0.182;0.169
5;201.000;1.000;6.000;2.000;0.200;0.184
