LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;550.000;25.000;6.000;53.000;0.459;0.418;0.510
2;533.000;26.000;5.000;70.000;0.409;0.362;0.457
3;531.000;23.000;8.000;72.000;0.365;0.315;0.367
4;523.000;27.000;4.000;80.000;0.391;0.341;0.408
5;544.000;24.000;3.000;56.000;0.449;0.411;0.560
6;542.000;23.000;8.000;61.000;0.400;0.354;0.484
7;546.000;26.000;5.000;57.000;0.456;0.414;0.501
8;529.000;26.000;5.000;74.000;0.397;0.348;0.585
9;525.000;24.000;7.000;78.000;0.361;0.309;0.313
10;514.000;26.000;1.000;86.000;0.374;0.327;0.513
11;530.000;24.000;7.000;73.000;0.375;0.325;0.496
12;545.000;19.000;12.000;58.000;0.352;0.303;0.315
13;531.000;30.000;1.000;72.000;0.451;0.407;0.595
14;515.000;29.000;2.000;88.000;0.392;0.341;0.489
15;531.000;21.000;6.000;69.000;0.359;0.313;0.349
16;531.000;26.000;5.000;72.000;0.403;0.355;0.425
17;547.000;24.000;7.000;56.000;0.432;0.389;0.460
18;524.000;28.000;3.000;79.000;0.406;0.357;0.585
19;520.000;27.000;4.000;83.000;0.383;0.332;0.462
20;539.000;18.000;9.000;61.000;0.340;0.294;0.415
21;540.000;25.000;6.000;63.000;0.420;0.375;0.460
22;534.000;25.000;6.000;69.000;0.400;0.352;0.522
23;522.000;27.000;4.000;81.000;0.388;0.338;0.508
24;534.000;26.000;5.000;69.000;0.413;0.366;0.559
25;534.000;23.000;4.000;66.000;0.397;0.354;0.367
max;550.000;30.000;12.000;88.000;0.459;0.418;0.595
avg;532.560;24.880;5.320;69.840;0.399;0.352;0.468
min;514.000;18.000;1.000;53.000;0.340;0.294;0.313
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;601.000;19.000;12.000;2.000;0.731;0.720
2;595.000;19.000;12.000;8.000;0.655;0.639
3;601.000;21.000;10.000;2.000;0.778;0.768
4;603.000;16.000;15.000;0.000;0.681;0.670
5;599.000;19.000;8.000;1.000;0.809;0.801
6;600.000;20.000;11.000;3.000;0.741;0.729
7;601.000;15.000;16.000;2.000;0.625;0.612
8;600.000;15.000;16.000;3.000;0.612;0.598
9;598.000;22.000;9.000;5.000;0.759;0.747
10;596.000;22.000;5.000;4.000;0.830;0.823
11;602.000;14.000;17.000;1.000;0.609;0.596
12;595.000;22.000;9.000;8.000;0.721;0.707
13;600.000;22.000;9.000;3.000;0.786;0.776
14;598.000;19.000;12.000;5.000;0.691;0.677
15;600.000;21.000;6.000;0.000;0.875;0.870
16;599.000;20.000;11.000;4.000;0.727;0.715
17;599.000;20.000;11.000;4.000;0.727;0.715
18;602.000;20.000;11.000;1.000;0.769;0.760
19;601.000;18.000;13.000;2.000;0.706;0.694
20;597.000;17.000;10.000;3.000;0.723;0.713
21;600.000;19.000;12.000;3.000;0.717;0.705
22;602.000;21.000;10.000;1.000;0.792;0.784
23;599.000;15.000;16.000;4.000;0.600;0.585
24;601.000;22.000;9.000;2.000;0.800;0.791
25;597.000;15.000;12.000;3.000;0.667;0.655
max;603.000;22.000;17.000;8.000;0.875;0.870
avg;599.440;18.920;11.280;2.960;0.725;0.714
min;595.000;14.000;5.000;0.000;0.600;0.585
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;598.000;23.000;8.000;5.000;0.780;0.769
2;594.000;27.000;4.000;9.000;0.806;0.795
3;599.000;26.000;5.000;4.000;0.852;0.845
4;600.000;19.000;12.000;3.000;0.717;0.705
5;597.000;22.000;5.000;3.000;0.846;0.840
