LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;550.000;18.000;3.000;10.000;0.735;0.723;0.860
2;550.000;21.000;0.000;10.000;0.808;0.799;0.940
3;541.000;20.000;1.000;19.000;0.667;0.650;0.850
4;547.000;19.000;2.000;13.000;0.717;0.704;0.886
5;543.000;21.000;0.000;13.000;0.764;0.752;0.988
6;551.000;20.000;1.000;9.000;0.800;0.791;0.936
7;553.000;19.000;2.000;7.000;0.809;0.801;0.919
8;545.000;21.000;0.000;15.000;0.737;0.724;0.910
9;538.000;21.000;0.000;22.000;0.656;0.639;0.883
10;539.000;19.000;2.000;17.000;0.667;0.651;0.907
11;550.000;21.000;0.000;10.000;0.808;0.799;0.962
12;555.000;19.000;2.000;5.000;0.844;0.838;0.908
13;542.000;20.000;1.000;18.000;0.678;0.662;0.869
14;544.000;20.000;1.000;16.000;0.702;0.687;0.948
15;536.000;21.000;0.000;20.000;0.677;0.661;0.926
16;551.000;20.000;1.000;9.000;0.800;0.791;0.937
17;542.000;21.000;0.000;18.000;0.700;0.685;0.955
18;552.000;15.000;6.000;8.000;0.682;0.669;0.752
19;543.000;21.000;0.000;17.000;0.712;0.698;0.927
20;549.000;20.000;1.000;7.000;0.833;0.826;0.937
21;546.000;21.000;0.000;14.000;0.750;0.738;0.964
22;549.000;20.000;1.000;11.000;0.769;0.759;0.895
23;550.000;20.000;1.000;10.000;0.784;0.775;0.894
24;547.000;20.000;1.000;13.000;0.741;0.729;0.920
25;544.000;20.000;1.000;12.000;0.755;0.743;0.922
max;555.000;21.000;6.000;22.000;0.844;0.838;0.988
avg;546.280;19.920;1.080;12.920;0.744;0.732;0.912
min;536.000;15.000;0.000;5.000;0.656;0.639;0.752
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;559.000;18.000;3.000;1.000;0.900;0.896
2;560.000;20.000;1.000;0.000;0.976;0.975
3;560.000;19.000;2.000;0.000;0.950;0.948
4;555.000;20.000;1.000;5.000;0.870;0.864
5;556.000;20.000;1.000;0.000;0.976;0.975
6;558.000;21.000;0.000;2.000;0.955;0.953
7;560.000;19.000;2.000;0.000;0.950;0.948
8;560.000;18.000;3.000;0.000;0.923;0.920
9;559.000;19.000;2.000;1.000;0.927;0.924
10;556.000;19.000;2.000;0.000;0.950;0.948
11;559.000;19.000;2.000;1.000;0.927;0.924
12;560.000;19.000;2.000;0.000;0.950;0.948
13;560.000;18.000;3.000;0.000;0.923;0.920
14;560.000;20.000;1.000;0.000;0.976;0.975
15;556.000;21.000;0.000;0.000;1.000;1.000
16;558.000;21.000;0.000;2.000;0.955;0.953
17;560.000;20.000;1.000;0.000;0.976;0.975
18;560.000;15.000;6.000;0.000;0.833;0.828
19;559.000;20.000;1.000;1.000;0.952;0.951
20;556.000;18.000;3.000;0.000;0.923;0.920
21;559.000;19.000;2.000;1.000;0.927;0.924
22;560.000;17.000;4.000;0.000;0.895;0.891
23;560.000;19.000;2.000;0.000;0.950;0.948
24;559.000;20.000;1.000;1.000;0.952;0.951
25;556.000;19.000;2.000;0.000;0.950;0.948
max;560.000;21.000;6.000;5.000;1.000;1.000
avg;558.600;19.120;1.880;0.600;0.939;0.936
min;555.000;15.000;0.000;0.000;0.833;0.828
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;559.000;18.000;3.000;1.000;0.900;0.896
2;560.000;20.000;1.000;0.000;0.976;0.975
3;560.000;20.000;1.000;0.000;0.976;0.975
4;555.000;21.000;0.000;5.000;0.894;0.889
5;556.000;20.000;1.000;0.000;0.976;0.975
6;560.000;20.000;1.000;0.000;0.976;0.975
