LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;225.000;5.000;6.000;85.000;0.099;0.040;0.126
2;234.000;7.000;4.000;76.000;0.149;0.094;0.120
3;209.000;10.000;1.000;101.000;0.164;0.108;0.266
4;260.000;5.000;6.000;50.000;0.152;0.100;0.153
5;232.000;5.000;4.000;74.000;0.114;0.066;0.215
6;224.000;8.000;3.000;86.000;0.152;0.097;0.136
7;235.000;8.000;3.000;75.000;0.170;0.117;0.155
8;242.000;8.000;3.000;68.000;0.184;0.132;0.159
9;233.000;5.000;6.000;77.000;0.108;0.050;0.259
10;239.000;6.000;3.000;67.000;0.146;0.101;0.172
11;241.000;6.000;5.000;69.000;0.140;0.085;0.178
12;230.000;9.000;2.000;80.000;0.180;0.127;0.182
13;245.000;6.000;5.000;65.000;0.146;0.092;0.063
14;218.000;9.000;2.000;92.000;0.161;0.105;0.198
15;242.000;6.000;3.000;64.000;0.152;0.107;0.116
16;229.000;8.000;3.000;81.000;0.160;0.105;0.394
17;233.000;8.000;3.000;77.000;0.167;0.113;0.168
18;251.000;3.000;8.000;59.000;0.082;0.025;0.083
19;225.000;9.000;2.000;85.000;0.171;0.117;0.134
20;226.000;3.000;6.000;80.000;0.065;0.014;0.075
21;246.000;6.000;5.000;64.000;0.148;0.095;0.089
22;242.000;5.000;6.000;68.000;0.119;0.063;0.094
23;212.000;11.000;0.000;98.000;0.183;0.129;0.300
24;227.000;6.000;5.000;83.000;0.120;0.063;0.191
25;252.000;5.000;4.000;54.000;0.147;0.103;0.131
max;260.000;11.000;8.000;101.000;0.184;0.132;0.394
avg;234.080;6.680;3.920;75.120;0.143;0.090;0.166
min;209.000;3.000;0.000;50.000;0.065;0.014;0.063
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;310.000;0.000;11.000;0.000;0.000;0.000
2;307.000;0.000;11.000;3.000;0.000;-0.015
3;310.000;0.000;11.000;0.000;0.000;0.000
4;307.000;1.000;10.000;3.000;0.133;0.117
5;305.000;0.000;9.000;1.000;0.000;-0.006
6;308.000;0.000;11.000;2.000;0.000;-0.011
7;309.000;0.000;11.000;1.000;0.000;-0.006
8;305.000;0.000;11.000;5.000;0.000;-0.022
9;310.000;0.000;11.000;0.000;0.000;0.000
10;305.000;0.000;9.000;1.000;0.000;-0.006
11;310.000;0.000;11.000;0.000;0.000;0.000
12;310.000;0.000;11.000;0.000;0.000;0.000
13;306.000;0.000;11.000;4.000;0.000;-0.019
14;310.000;0.000;11.000;0.000;0.000;0.000
15;304.000;0.000;9.000;2.000;0.000;-0.010
16;310.000;0.000;11.000;0.000;0.000;0.000
17;310.000;0.000;11.000;0.000;0.000;0.000
18;307.000;0.000;11.000;3.000;0.000;-0.015
19;308.000;0.000;11.000;2.000;0.000;-0.011
20;301.000;0.000;9.000;5.000;0.000;-0.021
21;307.000;0.000;11.000;3.000;0.000;-0.015
22;307.000;0.000;11.000;3.000;0.000;-0.015
23;310.000;0.000;11.000;0.000;0.000;0.000
24;310.000;0.000;11.000;0.000;0.000;0.000
25;305.000;0.000;9.000;1.000;0.000;-0.006
max;310.000;1.000;11.000;5.000;0.133;0.117
avg;307.640;0.040;10.560;1.560;0.005;-0.002
min;301.000;0.000;9.000;0.000;0.000;-0.022
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;294.000;0.000;11.000;16.000;0.000;-0.042
2;303.000;1.000;10.000;7.000;0.105;0.079
3;302.000;2.000;9.000;8.000;0.190;0.163
4;299.000;1.000;10.000;11.000;0.087;0.053
5;303.000;0.000;9.000;3.000;0.000;-0.014
