LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;278.000;8.000;1.000;10.000;0.593;0.575;0.868
2;273.000;9.000;0.000;15.000;0.545;0.524;0.706
3;278.000;8.000;1.000;10.000;0.593;0.575;0.604
4;281.000;7.000;2.000;7.000;0.609;0.594;0.746
5;275.000;8.000;0.000;13.000;0.552;0.533;0.697
6;277.000;9.000;0.000;11.000;0.621;0.604;0.693
7;273.000;8.000;1.000;15.000;0.500;0.477;0.349
8;281.000;8.000;1.000;7.000;0.667;0.654;0.735
9;274.000;9.000;0.000;14.000;0.562;0.543;0.878
10;279.000;7.000;1.000;9.000;0.583;0.568;0.593
11;273.000;9.000;0.000;15.000;0.545;0.524;0.683
12;275.000;9.000;0.000;13.000;0.581;0.562;0.670
13;282.000;7.000;2.000;6.000;0.636;0.623;0.803
14;281.000;9.000;0.000;7.000;0.720;0.709;0.738
15;275.000;8.000;0.000;13.000;0.552;0.533;0.327
16;277.000;8.000;1.000;11.000;0.571;0.553;0.714
17;272.000;8.000;1.000;16.000;0.485;0.461;0.652
18;280.000;7.000;2.000;8.000;0.583;0.567;0.595
19;281.000;9.000;0.000;7.000;0.720;0.709;0.696
20;276.000;8.000;0.000;12.000;0.571;0.554;0.721
21;274.000;9.000;0.000;14.000;0.562;0.543;0.724
22;280.000;8.000;1.000;8.000;0.640;0.625;0.783
23;278.000;9.000;0.000;10.000;0.643;0.628;0.747
24;281.000;8.000;1.000;7.000;0.667;0.654;0.592
25;274.000;7.000;1.000;14.000;0.483;0.462;0.396
max;282.000;9.000;2.000;16.000;0.720;0.709;0.878
avg;277.120;8.160;0.640;10.880;0.591;0.574;0.668
min;272.000;7.000;0.000;6.000;0.483;0.461;0.327
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;288.000;4.000;5.000;0.000;0.615;0.608
2;284.000;8.000;1.000;4.000;0.762;0.753
3;286.000;6.000;3.000;2.000;0.706;0.697
4;288.000;4.000;5.000;0.000;0.615;0.608
5;283.000;6.000;2.000;5.000;0.632;0.620
6;287.000;8.000;1.000;1.000;0.889;0.885
7;284.000;3.000;6.000;4.000;0.375;0.358
8;286.000;7.000;2.000;2.000;0.778;0.771
9;286.000;8.000;1.000;2.000;0.842;0.837
10;286.000;4.000;4.000;2.000;0.571;0.561
11;287.000;7.000;2.000;1.000;0.824;0.818
12;286.000;7.000;2.000;2.000;0.778;0.771
13;288.000;6.000;3.000;0.000;0.800;0.795
14;286.000;5.000;4.000;2.000;0.625;0.615
15;285.000;6.000;2.000;3.000;0.706;0.697
16;284.000;7.000;2.000;4.000;0.700;0.690
17;287.000;7.000;2.000;1.000;0.824;0.818
18;283.000;5.000;4.000;5.000;0.526;0.511
19;288.000;6.000;3.000;0.000;0.800;0.795
20;287.000;7.000;1.000;1.000;0.875;0.872
21;285.000;9.000;0.000;3.000;0.857;0.852
22;287.000;5.000;4.000;1.000;0.667;0.658
23;286.000;8.000;1.000;2.000;0.842;0.837
24;287.000;3.000;6.000;1.000;0.462;0.451
25;284.000;5.000;3.000;4.000;0.588;0.576
max;288.000;9.000;6.000;5.000;0.889;0.885
avg;285.920;6.040;2.760;2.080;0.706;0.698
min;283.000;3.000;0.000;0.000;0.375;0.358
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;287.000;4.000;5.000;1.000;0.571;0.562
2;284.000;8.000;1.000;4.000;0.762;0.753
3;284.000;6.000;3.000;4.000;0.632;0.619
4;288.000;4.000;5.000;0.000;0.615;0.608
5;284.000;7.000;1.000;4.000;0.737;0.728
