LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;115.000;9.000;0.000;23.000;0.439;0.380;0.927
2;126.000;6.000;3.000;12.000;0.444;0.395;0.587
3;126.000;8.000;1.000;12.000;0.552;0.510;0.805
4;120.000;7.000;2.000;18.000;0.412;0.354;0.526
5;124.000;5.000;1.000;13.000;0.417;0.377;0.482
6;119.000;8.000;1.000;19.000;0.444;0.388;0.651
7;127.000;8.000;1.000;11.000;0.571;0.533;0.787
8;127.000;7.000;2.000;11.000;0.519;0.476;0.726
9;120.000;9.000;0.000;18.000;0.500;0.449;0.710
10;124.000;5.000;1.000;13.000;0.417;0.377;0.661
11;124.000;7.000;2.000;14.000;0.467;0.417;0.548
12;127.000;9.000;0.000;11.000;0.621;0.586;0.906
13;128.000;5.000;4.000;10.000;0.417;0.368;0.653
14;114.000;7.000;2.000;24.000;0.350;0.282;0.620
15;122.000;5.000;1.000;15.000;0.385;0.342;0.528
16;125.000;5.000;4.000;13.000;0.370;0.314;0.529
17;120.000;7.000;2.000;18.000;0.412;0.354;0.650
18;123.000;8.000;1.000;15.000;0.500;0.452;0.743
19;120.000;9.000;0.000;18.000;0.500;0.449;0.947
20;124.000;5.000;1.000;13.000;0.417;0.377;0.589
21;116.000;7.000;2.000;22.000;0.368;0.303;0.690
22;122.000;8.000;1.000;16.000;0.485;0.434;0.680
23;123.000;6.000;3.000;15.000;0.400;0.344;0.521
24;123.000;8.000;1.000;15.000;0.500;0.452;0.878
25;127.000;6.000;0.000;10.000;0.545;0.516;0.819
max;128.000;9.000;4.000;24.000;0.621;0.586;0.947
avg;122.640;6.960;1.440;15.160;0.458;0.409;0.687
min;114.000;5.000;0.000;10.000;0.350;0.282;0.482
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;136.000;2.000;7.000;2.000;0.308;0.281
2;136.000;2.000;7.000;2.000;0.308;0.281
3;136.000;3.000;6.000;2.000;0.429;0.402
4;137.000;2.000;7.000;1.000;0.333;0.312
5;136.000;1.000;5.000;1.000;0.250;0.234
6;135.000;1.000;8.000;3.000;0.154;0.121
7;136.000;2.000;7.000;2.000;0.308;0.281
8;136.000;1.000;8.000;2.000;0.167;0.140
9;135.000;4.000;5.000;3.000;0.500;0.472
10;137.000;3.000;3.000;0.000;0.667;0.657
11;136.000;1.000;8.000;2.000;0.167;0.140
12;136.000;1.000;8.000;2.000;0.167;0.140
13;136.000;2.000;7.000;2.000;0.308;0.281
14;138.000;2.000;7.000;0.000;0.364;0.349
15;134.000;2.000;4.000;3.000;0.364;0.338
16;135.000;3.000;6.000;3.000;0.400;0.369
17;136.000;4.000;5.000;2.000;0.533;0.509
18;136.000;1.000;8.000;2.000;0.167;0.140
19;136.000;2.000;7.000;2.000;0.308;0.281
20;134.000;2.000;4.000;3.000;0.364;0.338
21;136.000;1.000;8.000;2.000;0.167;0.140
22;136.000;2.000;7.000;2.000;0.308;0.281
23;137.000;2.000;7.000;1.000;0.333;0.312
24;136.000;3.000;6.000;2.000;0.429;0.402
25;136.000;1.000;5.000;1.000;0.250;0.234
max;138.000;4.000;8.000;3.000;0.667;0.657
avg;135.920;2.000;6.400;1.880;0.322;0.297
min;134.000;1.000;3.000;0.000;0.154;0.121
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;132.000;6.000;3.000;6.000;0.571;0.539
2;131.000;3.000;6.000;7.000;0.316;0.269
3;135.000;2.000;7.000;3.000;0.286;0.253
4;137.000;3.000;6.000;1.000;0.462;0.440
5;132.000;1.000;5.000;5.000;0.167;0.130
6;133.000;3.000;6.000;5.000;0.353;0.313
7;135.000;4.000;5.000;3.000;0.500;0.472
8;131.000;3.000;6.000;7.000;0.316;0.269
