LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;401.000;12.000;0.000;55.000;0.304;0.272;0.466
2;402.000;10.000;2.000;54.000;0.263;0.230;0.617
3;410.000;10.000;2.000;46.000;0.294;0.263;0.355
4;407.000;11.000;1.000;49.000;0.306;0.275;0.562
5;400.000;9.000;1.000;56.000;0.240;0.211;0.312
6;407.000;11.000;1.000;49.000;0.306;0.275;0.628
7;393.000;12.000;0.000;63.000;0.276;0.242;0.550
8;400.000;10.000;2.000;56.000;0.256;0.223;0.257
9;418.000;9.000;3.000;38.000;0.305;0.275;0.520
10;404.000;8.000;2.000;52.000;0.229;0.199;0.426
11;405.000;9.000;3.000;51.000;0.250;0.217;0.522
12;399.000;10.000;2.000;57.000;0.253;0.219;0.354
13;411.000;11.000;1.000;45.000;0.324;0.294;0.493
14;407.000;10.000;2.000;49.000;0.282;0.250;0.332
15;396.000;10.000;0.000;60.000;0.250;0.221;0.593
16;402.000;11.000;1.000;54.000;0.286;0.253;0.640
17;383.000;11.000;1.000;73.000;0.229;0.193;0.622
18;406.000;10.000;2.000;50.000;0.278;0.246;0.433
19;413.000;11.000;1.000;43.000;0.333;0.304;0.480
20;413.000;8.000;2.000;43.000;0.262;0.235;0.343
21;394.000;10.000;2.000;62.000;0.238;0.203;0.373
22;403.000;10.000;2.000;53.000;0.267;0.234;0.354
23;407.000;10.000;2.000;49.000;0.282;0.250;0.365
24;399.000;11.000;1.000;57.000;0.275;0.242;0.696
25;409.000;10.000;0.000;47.000;0.299;0.272;0.490
max;418.000;12.000;3.000;73.000;0.333;0.304;0.696
avg;403.560;10.160;1.440;52.440;0.275;0.244;0.471
min;383.000;8.000;0.000;38.000;0.229;0.193;0.257
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;454.000;0.000;12.000;2.000;0.000;-0.007
2;453.000;2.000;10.000;3.000;0.235;0.224
3;454.000;2.000;10.000;2.000;0.250;0.240
4;453.000;1.000;11.000;3.000;0.125;0.114
5;456.000;0.000;10.000;0.000;0.000;0.000
6;454.000;2.000;10.000;2.000;0.250;0.240
7;454.000;2.000;10.000;2.000;0.250;0.240
8;454.000;3.000;9.000;2.000;0.353;0.343
9;455.000;1.000;11.000;1.000;0.143;0.137
10;452.000;2.000;8.000;4.000;0.250;0.238
11;455.000;2.000;10.000;1.000;0.267;0.259
12;451.000;2.000;10.000;5.000;0.211;0.195
13;454.000;2.000;10.000;2.000;0.250;0.240
14;454.000;0.000;12.000;2.000;0.000;-0.007
15;455.000;2.000;8.000;1.000;0.308;0.301
16;455.000;2.000;10.000;1.000;0.267;0.259
17;455.000;3.000;9.000;1.000;0.375;0.367
18;454.000;0.000;12.000;2.000;0.000;-0.007
19;453.000;1.000;11.000;3.000;0.125;0.114
20;453.000;2.000;8.000;3.000;0.267;0.256
21;454.000;1.000;11.000;2.000;0.133;0.124
22;450.000;0.000;12.000;6.000;0.000;-0.017
23;454.000;3.000;9.000;2.000;0.353;0.343
24;454.000;0.000;12.000;2.000;0.000;-0.007
25;451.000;3.000;7.000;5.000;0.333;0.320
max;456.000;3.000;12.000;6.000;0.375;0.367
avg;453.640;1.520;10.080;2.360;0.190;0.180
min;450.000;0.000;7.000;0.000;0.000;-0.017
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;435.000;7.000;5.000;21.000;0.350;0.326
2;439.000;7.000;5.000;17.000;0.389;0.367
3;442.000;6.000;6.000;14.000;0.375;0.354
4;439.000;5.000;7.000;17.000;0.294;0.270
5;444.000;4.000;6.000;12.000;0.308;0.289
6;443.000;8.000;4.000;13.000;0.485;0.467
7;436.000;9.000;3.000;20.000;0.439;0.418
8;439.000;5.000;7.000;17.000;0.294;0.270
9;446.000;3.000;9.000;10.000;0.240;0.219
10;436.000;4.000;6.000;20.000;0.235;0.211
11;445.000;5.000;7.000;11.000;0.357;0.338
12;431.000;6.000;6.000;25.000;0.279;0.251
13;442.000;9.000;3.000;14.000;0.514;0.497
14;443.000;3.000;9.000;13.000;0.214;0.191
15;441.000;6.000;4.000;15.000;0.387;0.369
16;438.000;7.000;5.000;18.000;0.378;0.356
17;438.000;6.000;6.000;18.000;0.333;0.310
18;447.000;3.000;9.000;9.000;0.250;0.230
19;442.000;4.000;8.000;14.000;0.267;0.243
20;445.000;6.000;4.000;11.000;0.444;0.429
21;440.000;6.000;6.000;16.000;0.353;0.331
22;440.000;1.000;11.000;16.000;0.069;0.040
23;446.000;7.000;5.000;10.000;0.483;0.467
24;436.000;5.000;7.000;20.000;0.270;0.244
25;440.000;5.000;5.000;16.000;0.323;0.302
max;447.000;9.000;11.000;25.000;0.514;0.497
avg;440.520;5.480;6.120;15.480;0.333;0.312
min;431.000;1.000;3.000;9.000;0.069;0.040
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;437.000;6.000;6.000;19.000;0.324;0.300
2;426.000;8.000;4.000;30.000;0.320;0.292
3;438.000;7.000;5.000;18.000;0.378;0.356
4;442.000;7.000;5.000;14.000;0.424;0.405
5;436.000;4.000;6.000;20.000;0.235;0.211
6;436.000;4.000;8.000;20.000;0.222;0.195
7;432.000;8.000;4.000;24.000;0.364;0.339
8;432.000;6.000;6.000;24.000;0.286;0.259
9;437.000;6.000;6.000;19.000;0.324;0.300
10;432.000;7.000;3.000;24.000;0.341;0.319
11;437.000;8.000;4.000;19.000;0.410;0.389
12;436.000;7.000;5.000;20.000;0.359;0.335
13;430.000;7.000;5.000;26.000;0.311;0.284
14;438.000;2.000;10.000;18.000;0.125;0.096
15;434.000;6.000;4.000;22.000;0.316;0.293
16;429.000;8.000;4.000;27.000;0.340;0.314
17;441.000;7.000;5.000;15.000;0.412;0.392
18;429.000;5.000;7.000;27.000;0.227;0.197
19;438.000;4.000;8.000;18.000;0.235;0.209
20;438.000;6.000;4.000;18.000;0.353;0.333
21;433.000;4.000;8.000;23.000;0.205;0.176
22;431.000;6.000;6.000;25.000;0.279;0.251
23;433.000;6.000;6.000;23.000;0.293;0.266
24;441.000;8.000;4.000;15.000;0.457;0.438
25;437.000;6.000;4.000;19.000;0.343;0.322
max;442.000;8.000;10.000;30.000;0.457;0.438
avg;434.920;6.120;5.480;21.080;0.315;0.291
min;426.000;2.000;3.000;14.000;0.125;0.096
