LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;286.000;13.000;0.000;47.000;0.356;0.314;0.363
2;286.000;13.000;0.000;47.000;0.356;0.314;0.304
3;278.000;13.000;0.000;55.000;0.321;0.275;0.392
4;290.000;13.000;0.000;43.000;0.377;0.336;0.367
5;294.000;12.000;1.000;37.000;0.387;0.348;0.447
6;290.000;13.000;0.000;43.000;0.377;0.336;0.289
7;274.000;13.000;0.000;59.000;0.306;0.259;0.366
8;293.000;12.000;1.000;40.000;0.369;0.329;0.345
9;295.000;13.000;0.000;38.000;0.406;0.368;0.286
10;284.000;13.000;0.000;47.000;0.356;0.314;0.555
11;288.000;13.000;0.000;45.000;0.366;0.325;0.308
12;294.000;13.000;0.000;39.000;0.400;0.362;0.436
13;280.000;13.000;0.000;53.000;0.329;0.284;0.314
14;291.000;13.000;0.000;42.000;0.382;0.342;0.385
15;286.000;12.000;1.000;45.000;0.343;0.300;0.376
16;291.000;13.000;0.000;42.000;0.382;0.342;0.419
17;284.000;13.000;0.000;49.000;0.347;0.303;0.511
18;280.000;13.000;0.000;53.000;0.329;0.284;0.320
19;290.000;12.000;1.000;43.000;0.353;0.311;0.275
20;289.000;13.000;0.000;42.000;0.382;0.342;0.321
21;279.000;13.000;0.000;54.000;0.325;0.280;0.292
22;293.000;12.000;1.000;40.000;0.369;0.329;0.359
23;298.000;13.000;0.000;35.000;0.426;0.390;0.336
24;282.000;13.000;0.000;51.000;0.338;0.294;0.295
25;287.000;13.000;0.000;44.000;0.371;0.330;0.488
max;298.000;13.000;1.000;59.000;0.426;0.390;0.555
avg;287.280;12.800;0.200;45.320;0.362;0.320;0.366
min;274.000;12.000;0.000;35.000;0.306;0.259;0.275
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;333.000;13.000;0.000;0.000;1.000;1.000
2;333.000;13.000;0.000;0.000;1.000;1.000
3;333.000;13.000;0.000;0.000;1.000;1.000
4;333.000;12.000;1.000;0.000;0.960;0.959
5;330.000;13.000;0.000;1.000;0.963;0.961
6;333.000;13.000;0.000;0.000;1.000;1.000
7;333.000;13.000;0.000;0.000;1.000;1.000
8;332.000;13.000;0.000;1.000;0.963;0.961
9;333.000;12.000;1.000;0.000;0.960;0.959
10;330.000;13.000;0.000;1.000;0.963;0.961
11;333.000;13.000;0.000;0.000;1.000;1.000
12;333.000;13.000;0.000;0.000;1.000;1.000
13;333.000;13.000;0.000;0.000;1.000;1.000
14;333.000;13.000;0.000;0.000;1.000;1.000
15;331.000;13.000;0.000;0.000;1.000;1.000
16;333.000;13.000;0.000;0.000;1.000;1.000
17;333.000;12.000;1.000;0.000;0.960;0.959
18;333.000;13.000;0.000;0.000;1.000;1.000
19;333.000;13.000;0.000;0.000;1.000;1.000
20;330.000;13.000;0.000;1.000;0.963;0.961
21;333.000;13.000;0.000;0.000;1.000;1.000
22;332.000;13.000;0.000;1.000;0.963;0.961
23;333.000;13.000;0.000;0.000;1.000;1.000
24;331.000;13.000;0.000;2.000;0.929;0.926
25;331.000;13.000;0.000;0.000;1.000;1.000
max;333.000;13.000;1.000;2.000;1.000;1.000
avg;332.320;12.880;0.120;0.280;0.985;0.984
min;330.000;12.000;0.000;0.000;0.929;0.926
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;332.000;13.000;0.000;1.000;0.963;0.961
2;332.000;13.000;0.000;1.000;0.963;0.961
3;331.000;13.000;0.000;2.000;0.929;0.926
4;332.000;13.000;0.000;1.000;0.963;0.961
5;326.000;13.000;0.000;5.000;0.839;0.831
6;330.000;13.000;0.000;3.000;0.897;0.892
7;331.000;13.000;0.000;2.000;0.929;0.926
8;332.000;13.000;0.000;1.000;0.963;0.961
9;332.000;13.000;0.000;1.000;0.963;0.961
10;331.000;13.000;0.000;0.000;1.000;1.000
11;332.000;13.000;0.000;1.000;0.963;0.961
12;331.000;13.000;0.000;2.000;0.929;0.926
13;328.000;13.000;0.000;5.000;0.839;0.831
14;333.000;13.000;0.000;0.000;1.000;1.000
15;330.000;13.000;0.000;1.000;0.963;0.961
16;331.000;13.000;0.000;2.000;0.929;0.926
17;332.000;13.000;0.000;1.000;0.963;0.961
18;332.000;13.000;0.000;1.000;0.963;0.961
19;332.000;13.000;0.000;1.000;0.963;0.961
20;329.000;13.000;0.000;2.000;0.929;0.926
21;331.000;13.000;0.000;2.000;0.929;0.926
22;332.000;13.000;0.000;1.000;0.963;0.961
23;332.000;13.000;0.000;1.000;0.963;0.961
24;327.000;13.000;0.000;6.000;0.813;0.804
25;329.000;13.000;0.000;2.000;0.929;0.926
max;333.000;13.000;0.000;6.000;1.000;1.000
avg;330.800;13.000;0.000;1.800;0.938;0.935
min;326.000;13.000;0.000;0.000;0.813;0.804
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;303.000;13.000;0.000;30.000;0.464;0.431
2;294.000;13.000;0.000;39.000;0.400;0.362
3;286.000;13.000;0.000;47.000;0.356;0.314
4;294.000;13.000;0.000;39.000;0.400;0.362
5;300.000;13.000;0.000;31.000;0.456;0.422
6;297.000;13.000;0.000;36.000;0.419;0.383
7;287.000;13.000;0.000;46.000;0.361;0.319
8;298.000;13.000;0.000;35.000;0.426;0.390
9;293.000;13.000;0.000;40.000;0.394;0.355
10;303.000;13.000;0.000;28.000;0.481;0.450
11;293.000;13.000;0.000;40.000;0.394;0.355
12;298.000;13.000;0.000;35.000;0.426;0.390
13;295.000;13.000;0.000;38.000;0.406;0.368
14;288.000;13.000;0.000;45.000;0.366;0.325
15;297.000;13.000;0.000;34.000;0.433;0.398
16;296.000;13.000;0.000;37.000;0.413;0.375
17;299.000;13.000;0.000;34.000;0.433;0.398
18;291.000;13.000;0.000;42.000;0.382;0.342
19;293.000;13.000;0.000;40.000;0.394;0.355
20;294.000;13.000;0.000;37.000;0.413;0.375
21;293.000;13.000;0.000;40.000;0.394;0.355
22;303.000;13.000;0.000;30.000;0.464;0.431
23;298.000;13.000;0.000;35.000;0.426;0.390
24;288.000;13.000;0.000;45.000;0.366;0.325
25;299.000;13.000;0.000;32.000;0.448;0.414
max;303.000;13.000;0.000;47.000;0.481;0.450
avg;295.200;13.000;0.000;37.400;0.413;0.375
min;286.000;13.000;0.000;28.000;0.356;0.314
