LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;170.000;10.000;4.000;162.000;0.108;0.035;0.061
2;185.000;11.000;3.000;147.000;0.128;0.058;0.087
3;172.000;10.000;4.000;160.000;0.109;0.037;0.057
4;178.000;10.000;4.000;154.000;0.112;0.041;0.077
5;175.000;9.000;4.000;156.000;0.101;0.033;0.056
6;157.000;10.000;4.000;175.000;0.101;0.027;0.068
7;169.000;11.000;3.000;163.000;0.117;0.046;0.070
8;186.000;10.000;4.000;146.000;0.118;0.047;0.072
9;183.000;7.000;7.000;149.000;0.082;0.009;0.050
10;180.000;8.000;5.000;151.000;0.093;0.025;0.077
11;168.000;11.000;3.000;164.000;0.116;0.045;0.077
12;190.000;11.000;3.000;142.000;0.132;0.062;0.067
13;180.000;8.000;6.000;152.000;0.092;0.019;0.056
14;170.000;11.000;3.000;162.000;0.118;0.046;0.083
15;168.000;9.000;4.000;163.000;0.097;0.029;0.055
16;177.000;11.000;3.000;155.000;0.122;0.051;0.067
17;173.000;8.000;6.000;159.000;0.088;0.015;0.063
18;170.000;10.000;4.000;162.000;0.108;0.035;0.066
19;189.000;8.000;6.000;143.000;0.097;0.025;0.056
20;170.000;12.000;1.000;161.000;0.129;0.063;0.081
21;175.000;6.000;8.000;157.000;0.068;-0.007;0.054
22;187.000;8.000;6.000;145.000;0.096;0.023;0.070
23;162.000;11.000;3.000;170.000;0.113;0.041;0.079
24;173.000;10.000;4.000;159.000;0.109;0.037;0.078
25;176.000;9.000;4.000;155.000;0.102;0.034;0.065
max;190.000;12.000;8.000;175.000;0.132;0.063;0.087
avg;175.320;9.560;4.240;156.480;0.106;0.035;0.068
min;157.000;6.000;1.000;142.000;0.068;-0.007;0.050
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;332.000;14.000;0.000;0.000;1.000;1.000
2;331.000;14.000;0.000;1.000;0.966;0.964
3;330.000;11.000;3.000;2.000;0.815;0.807
4;330.000;10.000;4.000;2.000;0.769;0.760
5;328.000;12.000;1.000;3.000;0.857;0.851
6;330.000;14.000;0.000;2.000;0.933;0.930
7;331.000;13.000;1.000;1.000;0.929;0.926
8;332.000;11.000;3.000;0.000;0.880;0.876
9;328.000;11.000;3.000;4.000;0.759;0.748
10;330.000;11.000;2.000;1.000;0.880;0.875
11;332.000;13.000;1.000;0.000;0.963;0.961
12;330.000;14.000;0.000;2.000;0.933;0.930
13;332.000;12.000;2.000;0.000;0.923;0.920
14;331.000;13.000;1.000;1.000;0.929;0.926
15;329.000;12.000;1.000;2.000;0.889;0.884
16;331.000;12.000;2.000;1.000;0.889;0.884
17;332.000;13.000;1.000;0.000;0.963;0.961
18;330.000;13.000;1.000;2.000;0.897;0.892
19;332.000;14.000;0.000;0.000;1.000;1.000
20;329.000;11.000;2.000;2.000;0.846;0.840
21;331.000;14.000;0.000;1.000;0.966;0.964
22;332.000;12.000;2.000;0.000;0.923;0.920
23;328.000;13.000;1.000;4.000;0.839;0.831
24;330.000;10.000;4.000;2.000;0.769;0.760
25;330.000;13.000;0.000;1.000;0.963;0.961
max;332.000;14.000;4.000;4.000;1.000;1.000
avg;330.440;12.400;1.400;1.360;0.899;0.895
min;328.000;10.000;0.000;0.000;0.759;0.748
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;325.000;14.000;0.000;7.000;0.800;0.790
2;327.000;14.000;0.000;5.000;0.848;0.841
3;328.000;14.000;0.000;4.000;0.875;0.869
4;327.000;14.000;0.000;5.000;0.848;0.841
5;325.000;13.000;0.000;6.000;0.813;0.804
6;325.000;14.000;0.000;7.000;0.800;0.790
7;329.000;14.000;0.000;3.000;0.903;0.899
8;330.000;14.000;0.000;2.000;0.933;0.930
9;323.000;14.000;0.000;9.000;0.757;0.744
10;325.000;13.000;0.000;6.000;0.813;0.804
11;328.000;14.000;0.000;4.000;0.875;0.869
12;324.000;14.000;0.000;8.000;0.778;0.766
13;326.000;14.000;0.000;6.000;0.824;0.815
14;329.000;14.000;0.000;3.000;0.903;0.899
15;325.000;13.000;0.000;6.000;0.813;0.804
16;327.000;14.000;0.000;5.000;0.848;0.841
17;329.000;14.000;0.000;3.000;0.903;0.899
18;325.000;14.000;0.000;7.000;0.800;0.790
19;326.000;14.000;0.000;6.000;0.824;0.815
20;325.000;13.000;0.000;6.000;0.813;0.804
21;329.000;14.000;0.000;3.000;0.903;0.899
22;327.000;14.000;0.000;5.000;0.848;0.841
23;323.000;14.000;0.000;9.000;0.757;0.744
24;326.000;14.000;0.000;6.000;0.824;0.815
25;327.000;13.000;0.000;4.000;0.867;0.861
max;330.000;14.000;0.000;9.000;0.933;0.930
avg;326.400;13.800;0.000;5.400;0.839;0.831
min;323.000;13.000;0.000;2.000;0.757;0.744
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;274.000;14.000;0.000;58.000;0.326;0.277
2;278.000;14.000;0.000;54.000;0.341;0.294
3;284.000;14.000;0.000;48.000;0.368;0.324
4;283.000;14.000;0.000;49.000;0.364;0.319
5;290.000;13.000;0.000;41.000;0.388;0.348
6;286.000;13.000;1.000;46.000;0.356;0.311
7;285.000;14.000;0.000;47.000;0.373;0.329
8;292.000;14.000;0.000;40.000;0.412;0.371
9;269.000;14.000;0.000;63.000;0.308;0.257
10;271.000;13.000;0.000;60.000;0.302;0.254
11;285.000;14.000;0.000;47.000;0.373;0.329
12;284.000;14.000;0.000;48.000;0.368;0.324
13;285.000;13.000;1.000;47.000;0.351;0.306
14;291.000;14.000;0.000;41.000;0.406;0.365
15;268.000;13.000;0.000;63.000;0.292;0.243
16;286.000;14.000;0.000;46.000;0.378;0.335
17;284.000;14.000;0.000;48.000;0.368;0.324
18;284.000;14.000;0.000;48.000;0.368;0.324
19;288.000;14.000;0.000;44.000;0.389;0.346
20;279.000;13.000;0.000;52.000;0.333;0.289
21;288.000;14.000;0.000;44.000;0.389;0.346
22;279.000;14.000;0.000;53.000;0.346;0.299
23;276.000;14.000;0.000;56.000;0.333;0.285
24;282.000;14.000;0.000;50.000;0.359;0.313
25;279.000;13.000;0.000;52.000;0.333;0.289
max;292.000;14.000;1.000;63.000;0.412;0.371
avg;282.000;13.720;0.080;49.800;0.357;0.312
min;268.000;13.000;0.000;40.000;0.292;0.243
