LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;165.000;4.000;5.000;40.000;0.151;0.087;0.070
2;153.000;9.000;0.000;52.000;0.257;0.198;0.371
3;167.000;7.000;2.000;38.000;0.259;0.203;0.397
4;179.000;9.000;0.000;26.000;0.409;0.367;0.768
5;168.000;5.000;2.000;35.000;0.213;0.165;0.222
6;166.000;8.000;1.000;39.000;0.286;0.231;0.401
7;166.000;7.000;2.000;39.000;0.255;0.198;0.368
8;165.000;8.000;1.000;40.000;0.281;0.226;0.322
9;177.000;6.000;3.000;28.000;0.279;0.228;0.310
10;162.000;7.000;0.000;41.000;0.255;0.208;0.416
11;180.000;9.000;0.000;25.000;0.419;0.377;0.779
12;159.000;7.000;2.000;46.000;0.226;0.166;0.243
13;162.000;7.000;2.000;43.000;0.237;0.179;0.353
14;172.000;6.000;3.000;33.000;0.250;0.195;0.294
15;159.000;6.000;1.000;44.000;0.211;0.161;0.224
16;163.000;8.000;1.000;42.000;0.271;0.215;0.186
17;172.000;7.000;2.000;33.000;0.286;0.233;0.537
18;165.000;6.000;3.000;40.000;0.218;0.159;0.244
19;168.000;9.000;0.000;37.000;0.327;0.276;0.387
20;165.000;7.000;0.000;38.000;0.269;0.224;0.592
21;168.000;7.000;2.000;37.000;0.264;0.209;0.200
22;158.000;8.000;1.000;47.000;0.250;0.192;0.418
23;164.000;9.000;0.000;41.000;0.305;0.252;0.500
24;175.000;5.000;4.000;30.000;0.227;0.172;0.187
25;160.000;5.000;2.000;43.000;0.182;0.131;0.430
max;180.000;9.000;5.000;52.000;0.419;0.377;0.779
avg;166.320;7.040;1.560;38.280;0.263;0.210;0.369
min;153.000;4.000;0.000;25.000;0.151;0.087;0.070
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;191.000;2.000;7.000;14.000;0.160;0.112
2;190.000;3.000;6.000;15.000;0.222;0.176
3;195.000;2.000;7.000;10.000;0.190;0.150
4;190.000;6.000;3.000;15.000;0.400;0.362
5;182.000;3.000;4.000;21.000;0.194;0.150
6;186.000;4.000;5.000;19.000;0.250;0.202
7;185.000;2.000;7.000;20.000;0.129;0.074
8;189.000;5.000;4.000;16.000;0.333;0.292
9;189.000;2.000;7.000;16.000;0.148;0.098
10;189.000;2.000;5.000;14.000;0.174;0.134
11;196.000;2.000;7.000;9.000;0.200;0.161
12;185.000;3.000;6.000;20.000;0.188;0.135
13;191.000;4.000;5.000;14.000;0.296;0.254
14;189.000;2.000;7.000;16.000;0.148;0.098
15;184.000;3.000;4.000;19.000;0.207;0.165
16;189.000;3.000;6.000;16.000;0.214;0.167
17;196.000;4.000;5.000;9.000;0.364;0.330
18;183.000;2.000;7.000;22.000;0.121;0.064
19;188.000;3.000;6.000;17.000;0.207;0.158
20;187.000;3.000;4.000;16.000;0.231;0.191
21;191.000;4.000;5.000;14.000;0.296;0.254
22;196.000;2.000;7.000;9.000;0.200;0.161
23;192.000;5.000;4.000;13.000;0.370;0.333
24;195.000;2.000;7.000;10.000;0.190;0.150
25;178.000;3.000;4.000;25.000;0.171;0.125
max;196.000;6.000;7.000;25.000;0.400;0.362
avg;189.040;3.040;5.560;15.560;0.224;0.180
min;178.000;2.000;3.000;9.000;0.121;0.064
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;177.000;3.000;6.000;28.000;0.150;0.091
2;175.000;6.000;3.000;30.000;0.267;0.214
3;184.000;6.000;3.000;21.000;0.333;0.288
4;181.000;7.000;2.000;24.000;0.350;0.305
5;175.000;6.000;1.000;28.000;0.293;0.251
6;179.000;7.000;2.000;26.000;0.333;0.286
7;175.000;8.000;1.000;30.000;0.340;0.292
8;174.000;5.000;4.000;31.000;0.222;0.166
9;187.000;5.000;4.000;18.000;0.312;0.268
10;173.000;4.000;3.000;30.000;0.195;0.148
11;191.000;6.000;3.000;14.000;0.414;0.378
12;172.000;6.000;3.000;33.000;0.250;0.195
13;180.000;7.000;2.000;25.000;0.341;0.295
14;184.000;6.000;3.000;21.000;0.333;0.288
15;169.000;3.000;4.000;34.000;0.136;0.085
16;176.000;6.000;3.000;29.000;0.273;0.221
17;188.000;6.000;3.000;17.000;0.375;0.335
18;168.000;5.000;4.000;37.000;0.196;0.136
19;177.000;6.000;3.000;28.000;0.279;0.228
20;179.000;5.000;2.000;24.000;0.278;0.237
21;180.000;6.000;3.000;25.000;0.300;0.251
22;180.000;6.000;3.000;25.000;0.300;0.251
23;181.000;6.000;3.000;24.000;0.308;0.260
