LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;520.000;27.000;4.000;83.000;0.383;0.332;0.473
2;507.000;29.000;2.000;96.000;0.372;0.318;0.467
3;503.000;27.000;4.000;100.000;0.342;0.286;0.346
4;499.000;28.000;3.000;104.000;0.344;0.287;0.420
5;509.000;24.000;3.000;91.000;0.338;0.288;0.524
6;521.000;28.000;3.000;82.000;0.397;0.347;0.482
7;520.000;26.000;5.000;83.000;0.371;0.320;0.411
8;501.000;29.000;2.000;102.000;0.358;0.303;0.574
9;508.000;26.000;5.000;95.000;0.342;0.287;0.310
10;493.000;26.000;1.000;107.000;0.325;0.273;0.477
11;498.000;30.000;1.000;105.000;0.361;0.306;0.478
12;525.000;21.000;10.000;78.000;0.323;0.269;0.294
13;510.000;30.000;1.000;93.000;0.390;0.338;0.547
14;507.000;29.000;2.000;96.000;0.372;0.318;0.457
15;509.000;23.000;4.000;91.000;0.326;0.276;0.283
16;519.000;28.000;3.000;84.000;0.392;0.341;0.362
17;518.000;26.000;5.000;85.000;0.366;0.314;0.423
18;505.000;28.000;3.000;98.000;0.357;0.302;0.585
19;492.000;29.000;2.000;111.000;0.339;0.282;0.436
20;506.000;24.000;3.000;94.000;0.331;0.281;0.421
21;508.000;28.000;3.000;95.000;0.364;0.310;0.435
22;511.000;27.000;4.000;92.000;0.360;0.306;0.479
23;500.000;29.000;2.000;103.000;0.356;0.300;0.496
24;504.000;28.000;3.000;99.000;0.354;0.299;0.457
25;519.000;25.000;2.000;81.000;0.376;0.330;0.311
max;525.000;30.000;10.000;111.000;0.397;0.347;0.585
avg;508.480;27.000;3.200;93.920;0.358;0.305;0.438
min;492.000;21.000;1.000;78.000;0.323;0.269;0.283
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;599.000;25.000;6.000;4.000;0.833;0.825
2;597.000;28.000;3.000;6.000;0.862;0.854
3;600.000;27.000;4.000;3.000;0.885;0.879
4;600.000;18.000;13.000;3.000;0.692;0.680
5;597.000;20.000;7.000;3.000;0.800;0.792
6;598.000;23.000;8.000;5.000;0.780;0.769
7;596.000;24.000;7.000;7.000;0.774;0.763
8;600.000;21.000;10.000;3.000;0.764;0.753
9;597.000;24.000;7.000;6.000;0.787;0.776
10;596.000;24.000;3.000;4.000;0.873;0.867
11;601.000;18.000;13.000;2.000;0.706;0.694
12;596.000;27.000;4.000;7.000;0.831;0.822
13;598.000;25.000;6.000;5.000;0.820;0.811
14;598.000;21.000;10.000;5.000;0.737;0.725
15;597.000;24.000;3.000;3.000;0.889;0.884
16;597.000;24.000;7.000;6.000;0.787;0.776
17;599.000;24.000;7.000;4.000;0.814;0.804
18;599.000;23.000;8.000;4.000;0.793;0.783
19;601.000;28.000;3.000;2.000;0.918;0.914
20;594.000;19.000;8.000;6.000;0.731;0.719
21;599.000;25.000;6.000;4.000;0.833;0.825
22;601.000;24.000;7.000;2.000;0.842;0.835
23;598.000;19.000;12.000;5.000;0.691;0.677
24;599.000;28.000;3.000;4.000;0.889;0.883
25;594.000;17.000;10.000;6.000;0.680;0.667
max;601.000;28.000;13.000;7.000;0.918;0.914
avg;598.040;23.200;7.000;4.360;0.800;0.791
min;594.000;17.000;3.000;2.000;0.680;0.667
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;592.000;28.000;3.000;11.000;0.800;0.788
2;586.000;29.000;2.000;17.000;0.753;0.738
3;587.000;29.000;2.000;16.000;0.763;0.749
4;597.000;24.000;7.000;6.000;0.787;0.776
5;592.000;24.000;3.000;8.000;0.814;0.804
