LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;544.000;19.000;2.000;16.000;0.679;0.663;0.877
2;546.000;21.000;0.000;14.000;0.750;0.738;0.918
3;530.000;21.000;0.000;30.000;0.583;0.561;0.810
4;532.000;20.000;1.000;28.000;0.580;0.557;0.826
5;536.000;21.000;0.000;20.000;0.677;0.661;0.968
6;539.000;20.000;1.000;21.000;0.645;0.627;0.925
7;541.000;19.000;2.000;19.000;0.644;0.627;0.917
8;539.000;21.000;0.000;21.000;0.667;0.650;0.895
9;535.000;21.000;0.000;25.000;0.627;0.607;0.860
10;535.000;21.000;0.000;21.000;0.667;0.650;0.872
11;544.000;21.000;0.000;16.000;0.724;0.711;0.940
12;546.000;20.000;1.000;14.000;0.727;0.715;0.887
13;534.000;20.000;1.000;26.000;0.597;0.576;0.794
14;535.000;21.000;0.000;25.000;0.627;0.607;0.909
15;524.000;21.000;0.000;32.000;0.568;0.544;0.882
16;540.000;20.000;1.000;20.000;0.656;0.639;0.926
17;532.000;21.000;0.000;28.000;0.600;0.579;0.936
18;532.000;21.000;0.000;28.000;0.600;0.579;0.762
19;537.000;21.000;0.000;23.000;0.646;0.628;0.889
20;544.000;20.000;1.000;12.000;0.755;0.743;0.906
21;539.000;21.000;0.000;21.000;0.667;0.650;0.948
22;542.000;21.000;0.000;18.000;0.700;0.685;0.901
23;536.000;21.000;0.000;24.000;0.636;0.618;0.833
24;536.000;20.000;1.000;24.000;0.615;0.596;0.851
25;532.000;20.000;1.000;24.000;0.615;0.595;0.872
max;546.000;21.000;2.000;32.000;0.755;0.743;0.968
avg;537.200;20.520;0.480;22.000;0.650;0.632;0.884
min;524.000;19.000;0.000;12.000;0.568;0.544;0.762
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;559.000;18.000;3.000;1.000;0.900;0.896
2;560.000;20.000;1.000;0.000;0.976;0.975
3;560.000;18.000;3.000;0.000;0.923;0.920
4;554.000;21.000;0.000;6.000;0.875;0.870
5;556.000;20.000;1.000;0.000;0.976;0.975
6;558.000;20.000;1.000;2.000;0.930;0.928
7;558.000;20.000;1.000;2.000;0.930;0.928
8;560.000;20.000;1.000;0.000;0.976;0.975
9;559.000;19.000;2.000;1.000;0.927;0.924
10;555.000;20.000;1.000;1.000;0.952;0.951
11;559.000;20.000;1.000;1.000;0.952;0.951
12;559.000;20.000;1.000;1.000;0.952;0.951
13;559.000;19.000;2.000;1.000;0.927;0.924
14;560.000;20.000;1.000;0.000;0.976;0.975
15;554.000;21.000;0.000;2.000;0.955;0.953
16;558.000;21.000;0.000;2.000;0.955;0.953
17;560.000;20.000;1.000;0.000;0.976;0.975
18;560.000;16.000;5.000;0.000;0.865;0.861
19;559.000;20.000;1.000;1.000;0.952;0.951
20;555.000;20.000;1.000;1.000;0.952;0.951
21;558.000;20.000;1.000;2.000;0.930;0.928
22;559.000;19.000;2.000;1.000;0.927;0.924
23;560.000;20.000;1.000;0.000;0.976;0.975
24;560.000;21.000;0.000;0.000;1.000;1.000
25;555.000;21.000;0.000;1.000;0.977;0.976
max;560.000;21.000;5.000;6.000;1.000;1.000
avg;558.160;19.760;1.240;1.040;0.945;0.943
min;554.000;16.000;0.000;0.000;0.865;0.861
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;558.000;20.000;1.000;2.000;0.930;0.928
2;560.000;21.000;0.000;0.000;1.000;1.000
3;557.000;21.000;0.000;3.000;0.933;0.931
4;553.000;21.000;0.000;7.000;0.857;0.851
5;556.000;20.000;1.000;0.000;0.976;0.975
6;557.000;21.000;0.000;3.000;0.933;0.931
