LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
1;274.000;9.000;0.000;14.000;0.562;0.543;0.902
2;273.000;9.000;0.000;15.000;0.545;0.524;0.698
3;277.000;9.000;0.000;11.000;0.621;0.604;0.602
4;280.000;9.000;0.000;8.000;0.692;0.680;0.776
5;271.000;8.000;0.000;17.000;0.485;0.463;0.688
6;275.000;9.000;0.000;13.000;0.581;0.562;0.710
7;269.000;9.000;0.000;19.000;0.486;0.462;0.416
8;278.000;9.000;0.000;10.000;0.643;0.628;0.773
9;271.000;9.000;0.000;17.000;0.514;0.491;0.894
10;277.000;8.000;0.000;11.000;0.593;0.576;0.639
11;271.000;9.000;0.000;17.000;0.514;0.491;0.671
12;270.000;9.000;0.000;18.000;0.500;0.476;0.707
13;280.000;9.000;0.000;8.000;0.692;0.680;0.838
14;278.000;9.000;0.000;10.000;0.643;0.628;0.758
15;275.000;8.000;0.000;13.000;0.552;0.533;0.387
16;273.000;9.000;0.000;15.000;0.545;0.524;0.744
17;272.000;9.000;0.000;16.000;0.529;0.507;0.598
18;277.000;8.000;1.000;11.000;0.571;0.553;0.688
19;279.000;9.000;0.000;9.000;0.667;0.653;0.681
20;273.000;8.000;0.000;15.000;0.516;0.496;0.640
21;271.000;9.000;0.000;17.000;0.514;0.491;0.720
22;279.000;9.000;0.000;9.000;0.667;0.653;0.799
23;277.000;9.000;0.000;11.000;0.621;0.604;0.775
24;276.000;9.000;0.000;12.000;0.600;0.582;0.582
25;271.000;8.000;0.000;17.000;0.485;0.463;0.469
max;280.000;9.000;1.000;19.000;0.692;0.680;0.902
avg;274.680;8.760;0.040;13.320;0.574;0.555;0.686
min;269.000;8.000;0.000;8.000;0.485;0.462;0.387
---
RF
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;286.000;5.000;4.000;2.000;0.625;0.615
2;284.000;9.000;0.000;4.000;0.818;0.811
3;284.000;6.000;3.000;4.000;0.632;0.619
4;288.000;6.000;3.000;0.000;0.800;0.795
5;283.000;6.000;2.000;5.000;0.632;0.620
6;287.000;8.000;1.000;1.000;0.889;0.885
7;281.000;6.000;3.000;7.000;0.545;0.529
8;287.000;9.000;0.000;1.000;0.947;0.946
9;286.000;8.000;1.000;2.000;0.842;0.837
10;286.000;4.000;4.000;2.000;0.571;0.561
11;285.000;7.000;2.000;3.000;0.737;0.728
12;285.000;7.000;2.000;3.000;0.737;0.728
13;287.000;7.000;2.000;1.000;0.824;0.818
14;288.000;5.000;4.000;0.000;0.714;0.708
15;283.000;7.000;1.000;5.000;0.700;0.690
16;286.000;8.000;1.000;2.000;0.842;0.837
17;287.000;7.000;2.000;1.000;0.824;0.818
18;283.000;5.000;4.000;5.000;0.526;0.511
19;287.000;5.000;4.000;1.000;0.667;0.658
20;284.000;7.000;1.000;4.000;0.737;0.728
21;284.000;8.000;1.000;4.000;0.762;0.753
22;288.000;6.000;3.000;0.000;0.800;0.795
23;287.000;8.000;1.000;1.000;0.889;0.885
24;287.000;6.000;3.000;1.000;0.750;0.743
25;282.000;6.000;2.000;6.000;0.600;0.587
max;288.000;9.000;4.000;7.000;0.947;0.946
avg;285.400;6.640;2.160;2.600;0.736;0.728
min;281.000;4.000;0.000;0.000;0.526;0.511
---
GB
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;285.000;4.000;5.000;3.000;0.500;0.486
2;285.000;9.000;0.000;3.000;0.857;0.852
3;284.000;6.000;3.000;4.000;0.632;0.619
4;288.000;7.000;2.000;0.000;0.875;0.872
5;284.000;6.000;2.000;4.000;0.667;0.656
