dataset;Repeater;ProWRAS;GAN;CTGAN;CTAB-GAN;ConvGeN(min,maj)
abalone_17_vs_7_8_9_10;None;None;None;None;None;0.393
abalone9-18;None;None;None;None;None;0.538
car_good;None;None;None;None;None;0.659
car-vgood;None;None;None;None;None;0.721
flare-F;None;None;None;None;None;0.223
hypothyroid;None;None;None;None;None;0.703
kddcup-guess_passwd_vs_satan;None;None;None;None;None;1.0
kr-vs-k-three_vs_eleven;None;None;None;None;None;0.995
kr-vs-k-zero-one_vs_draw;None;None;None;None;None;0.951
shuttle-2_vs_5;None;None;None;None;None;0.996
winequality-red-4;None;None;None;None;None;0.123
yeast4;None;None;None;None;None;0.308
yeast5;None;None;None;None;None;0.652
yeast6;None;None;None;None;None;0.491
Average;0.0;0.0;0.0;0.0;0.0;0.6252142857142857
