dataset,Repeater,ProWRAS,GAN,CTGAN,CTAB-GAN,ConvGeN(min,maj)
abalone_17_vs_7_8_9_10,None,None,None,None,None,0.372
abalone9-18,None,None,None,None,None,0.512
car_good,None,None,None,None,None,0.646
car-vgood,None,None,None,None,None,0.712
flare-F,None,None,None,None,None,0.193
hypothyroid,None,None,None,None,None,0.688
kddcup-guess_passwd_vs_satan,None,None,None,None,None,1.0
kr-vs-k-three_vs_eleven,None,None,None,None,None,0.995
kr-vs-k-zero-one_vs_draw,None,None,None,None,None,0.949
shuttle-2_vs_5,None,None,None,None,None,0.996
winequality-red-4,None,None,None,None,None,0.073
yeast4,None,None,None,None,None,0.271
yeast5,None,None,None,None,None,0.639
yeast6,None,None,None,None,None,0.475
Average,0.0,0.0,0.0,0.0,0.0,0.6086428571428572
