dataset;Repeater;ProWRAS;GAN;CTGAN;CTAB-GAN;ConvGeN(min,maj)
abalone_17_vs_7_8_9_10;0.333;0.323;0.202;0.234;0.204;0.291
abalone9-18;0.383;0.399;0.344;0.396;0.343;0.318
car_good;0.839;0.849;0.849;0.533;0.84;0.864
car-vgood;0.938;0.971;0.978;0.812;0.98;0.982
flare-F;0.285;0.132;0.231;0.315;0.225;0.181
hypothyroid;0.781;0.795;0.808;0.774;0.81;0.8
kddcup-guess_passwd_vs_satan;1.0;1.0;0.986;1.0;1.0;1.0
kr-vs-k-three_vs_eleven;0.995;0.995;0.995;0.95;0.995;0.995
kr-vs-k-zero-one_vs_draw;0.944;0.959;0.959;0.825;0.955;0.972
shuttle-2_vs_5;1.0;1.0;1.0;1.0;0.989;1.0
winequality-red-4;0.127;0.099;0.066;0.13;0.128;0.107
yeast4;0.377;0.371;0.275;0.246;0.308;0.351
yeast5;0.714;0.69;0.746;0.617;0.716;0.724
yeast6;0.473;0.569;0.494;0.432;0.526;0.564
Average;0.656357142857143;0.6537142857142856;0.6380714285714285;0.5902857142857142;0.6442142857142857;0.6535000000000001
