dataset;Repeater;ProWRAS;GAN;CTGAN;CTAB-GAN;ConvGeN(min,maj)
abalone_17_vs_7_8_9_10;0.312;0.304;0.194;0.219;0.198;0.278
abalone9-18;0.346;0.362;0.319;0.362;0.32;0.292
car_good;0.831;0.843;0.843;0.504;0.834;0.858
car-vgood;0.935;0.97;0.977;0.803;0.979;0.982
flare-F;0.237;0.111;0.214;0.268;0.208;0.164
hypothyroid;0.768;0.785;0.799;0.76;0.801;0.789
kddcup-guess_passwd_vs_satan;1.0;1.0;0.986;1.0;1.0;1.0
kr-vs-k-three_vs_eleven;0.995;0.995;0.995;0.949;0.995;0.995
kr-vs-k-zero-one_vs_draw;0.942;0.958;0.958;0.818;0.953;0.971
shuttle-2_vs_5;1.0;1.0;1.0;1.0;0.989;1.0
winequality-red-4;0.094;0.073;0.054;0.104;0.086;0.066
yeast4;0.349;0.349;0.26;0.218;0.293;0.329
yeast5;0.705;0.68;0.739;0.603;0.707;0.716
yeast6;0.458;0.559;0.484;0.417;0.517;0.554
Average;0.6408571428571429;0.6420714285714286;0.6301428571428572;0.5732142857142856;0.6342857142857143;0.6424285714285715
