dataset;Repeater;ProWRAS;GAN;CTGAN;CTAB-GAN;ConvGeN(min,maj)
abalone_17_vs_7_8_9_10;0.315;0.336;0.272;0.18;0.28;0.315
abalone9-18;0.342;0.386;0.258;0.276;0.338;0.136
car_good;0.357;0.72;0.427;0.229;0.433;0.509
car-vgood;0.413;0.805;0.653;0.322;0.595;0.879
flare-F;0.245;0.293;0.27;0.267;0.293;0.306
hypothyroid;0.568;0.615;0.573;0.618;0.565;0.606
kddcup-guess_passwd_vs_satan;0.991;0.991;0.991;0.991;0.991;0.991
kr-vs-k-three_vs_eleven;0.901;0.932;0.903;0.804;0.807;0.961
kr-vs-k-zero-one_vs_draw;0.84;0.885;0.828;0.767;0.786;0.897
shuttle-2_vs_5;0.951;0.956;0.936;0.951;0.949;0.932
winequality-red-4;0.069;0.072;0.085;0.047;0.057;0.058
yeast4;0.329;0.363;0.332;0.304;0.313;0.348
yeast5;0.67;0.691;0.598;0.542;0.507;0.646
yeast6;0.409;0.463;0.363;0.383;0.304;0.426
Average;0.5285714285714286;0.6077142857142858;0.5349285714285715;0.4772142857142857;0.5155714285714287;0.5721428571428572
