dataset;Repeater;ProWRAS;GAN;CTGAN;CTAB-GAN;ConvGeN(min,maj)
abalone_17_vs_7_8_9_10;0.291;0.313;0.243;0.173;0.268;0.296
abalone9-18;0.286;0.338;0.197;0.256;0.313;0.12
car_good;0.312;0.707;0.394;0.171;0.395;0.479
car-vgood;0.375;0.797;0.634;0.277;0.572;0.874
flare-F;0.191;0.249;0.228;0.214;0.246;0.265
hypothyroid;0.54;0.592;0.547;0.595;0.537;0.582
kddcup-guess_passwd_vs_satan;0.991;0.991;0.991;0.991;0.991;0.991
kr-vs-k-three_vs_eleven;0.898;0.929;0.9;0.797;0.801;0.96
kr-vs-k-zero-one_vs_draw;0.833;0.88;0.821;0.756;0.776;0.892
shuttle-2_vs_5;0.951;0.955;0.935;0.951;0.948;0.931
winequality-red-4;0.016;0.02;0.028;0.001;0.003;-0.001
yeast4;0.293;0.332;0.294;0.267;0.273;0.313
yeast5;0.657;0.679;0.581;0.522;0.484;0.631
yeast6;0.387;0.445;0.339;0.36;0.276;0.406
Average;0.5015000000000001;0.5876428571428571;0.5094285714285715;0.4522142857142858;0.4916428571428571;0.5527857142857143
