dataset;Repeater;ProWRAS;GAN;CTGAN;CTAB-GAN;ConvGeN(min,maj)
abalone_17_vs_7_8_9_10;0.275;0.337;0.304;0.221;0.2;0.337
abalone9-18;0.458;0.57;0.462;0.341;0.389;0.575
car_good;0.106;0.1;0.162;0.106;0.109;0.109
car-vgood;0.362;0.392;0.377;0.331;0.354;0.422
flare-F;0.263;0.278;0.272;0.287;0.293;0.323
hypothyroid;0.358;0.399;0.393;0.311;0.317;0.378
kddcup-guess_passwd_vs_satan;0.997;0.996;0.981;1.0;1.0;0.995
kr-vs-k-three_vs_eleven;0.942;0.965;0.964;0.785;0.848;0.965
kr-vs-k-zero-one_vs_draw;0.65;0.745;0.725;0.575;0.583;0.836
shuttle-2_vs_5;0.998;0.996;1.0;0.984;0.967;0.996
winequality-red-4;0.113;0.143;0.077;0.127;0.109;0.135
yeast4;0.236;0.243;0.307;0.216;0.227;0.277
yeast5;0.574;0.591;0.595;0.522;0.511;0.62
yeast6;0.242;0.294;0.375;0.317;0.242;0.353
Average;0.46957142857142864;0.5035000000000001;0.49957142857142856;0.4373571428571429;0.4392142857142857;0.5229285714285714
