dataset;Repeater;ProWRAS;GAN;CTGAN;CTAB-GAN;ConvGeN(min,maj)
abalone_17_vs_7_8_9_10;0.244;0.311;0.276;0.191;0.164;0.31
abalone9-18;0.409;0.538;0.418;0.288;0.332;0.544
car_good;0.035;0.029;0.101;0.035;0.038;0.038
car-vgood;0.32;0.354;0.337;0.287;0.311;0.387
flare-F;0.21;0.228;0.223;0.236;0.244;0.279
hypothyroid;0.305;0.352;0.37;0.252;0.26;0.328
kddcup-guess_passwd_vs_satan;0.996;0.996;0.98;1.0;1.0;0.995
kr-vs-k-three_vs_eleven;0.941;0.964;0.964;0.777;0.843;0.965
kr-vs-k-zero-one_vs_draw;0.632;0.733;0.712;0.552;0.561;0.83
shuttle-2_vs_5;0.998;0.996;1.0;0.984;0.967;0.996
winequality-red-4;0.056;0.09;0.044;0.08;0.051;0.08
yeast4;0.188;0.197;0.269;0.168;0.178;0.235
yeast5;0.555;0.574;0.577;0.5;0.488;0.604
yeast6;0.21;0.265;0.351;0.29;0.21;0.328
Average;0.4356428571428571;0.47335714285714275;0.473;0.4028571428571429;0.4033571428571428;0.49421428571428583
