dataset;Repeater;ProWRAS;GAN;CTGAN;CTAB-GAN;ConvGeN(min,maj)
abalone_17_vs_7_8_9_10;0.19;0.169;0.256;0.239;0.329;0.28
abalone9-18;0.322;0.367;0.319;0.395;0.376;0.348
car_good;0.899;0.581;0.772;0.533;0.804;0.659
car-vgood;0.985;0.914;0.949;0.812;0.959;0.929
flare-F;0.222;0.095;0.127;0.294;0.121;0.12
hypothyroid;0.8;0.725;0.777;0.774;0.777;0.798
kddcup-guess_passwd_vs_satan;1.0;1.0;0.994;1.0;1.0;1.0
kr-vs-k-three_vs_eleven;1.0;0.991;0.992;0.95;0.995;0.992
kr-vs-k-zero-one_vs_draw;0.946;0.939;0.947;0.843;0.937;0.946
shuttle-2_vs_5;1.0;1.0;1.0;1.0;1.0;1.0
winequality-red-4;0.014;0.005;0.024;0.153;0.173;0.086
yeast4;0.32;0.329;0.284;0.284;0.311;0.321
yeast5;0.72;0.706;0.758;0.647;0.74;0.738
yeast6;0.518;0.57;0.493;0.453;0.53;0.575
Average;0.6382857142857145;0.5993571428571428;0.6208571428571429;0.5983571428571429;0.6465714285714286;0.628
