dataset;Repeater;ProWRAS;GAN;CTGAN;CTAB-GAN;ConvGeN(min,maj)
abalone_17_vs_7_8_9_10;0.18;0.161;0.242;0.22;0.31;0.268
abalone9-18;0.297;0.34;0.286;0.359;0.333;0.326
car_good;0.895;0.572;0.765;0.504;0.798;0.65
car-vgood;0.984;0.911;0.947;0.803;0.957;0.927
flare-F;0.178;0.074;0.107;0.245;0.102;0.099
hypothyroid;0.791;0.714;0.767;0.76;0.767;0.788
kddcup-guess_passwd_vs_satan;1.0;1.0;0.994;1.0;1.0;1.0
kr-vs-k-three_vs_eleven;1.0;0.991;0.992;0.948;0.995;0.992
kr-vs-k-zero-one_vs_draw;0.944;0.936;0.945;0.836;0.935;0.944
shuttle-2_vs_5;1.0;1.0;1.0;1.0;1.0;1.0
winequality-red-4;0.009;-0.002;0.018;0.125;0.133;0.055
yeast4;0.306;0.313;0.272;0.252;0.3;0.304
yeast5;0.712;0.698;0.751;0.634;0.733;0.73
yeast6;0.508;0.562;0.485;0.437;0.522;0.567
Average;0.6288571428571428;0.5907142857142856;0.6122142857142857;0.5802142857142858;0.6346428571428572;0.6178571428571429
